FID,BH_2010,BH_2020,MODIS_2010,MODIS_2020,city_name,buffer_id,distance
10797,0.123543344,1.316759578,27.11556658,26.7197937,南京市,60,30
10798,0.081781568,0.940748755,27.13068531,26.71739125,南京市,59,29
10799,0.03218162,0.555200586,27.18558745,26.78345405,南京市,58,28
10800,0.132155042,0.941668822,27.22938385,26.81022713,南京市,57,27
10801,0.754925175,1.541506632,27.29259237,26.84347839,南京市,56,26
10802,1.784454976,2.814860629,27.35285814,26.88618033,南京市,55,25
10803,2.19698621,3.406817327,27.42761683,26.94179854,南京市,54,24
10804,2.280015162,4.435797587,27.4616637,26.95724633,南京市,53,23
10805,2.727768039,5.815234124,27.51574063,26.98506616,南京市,52,22
10806,3.023155602,6.806545596,27.49943774,26.95139124,南京市,51,21
10807,2.754038562,7.996382128,27.52065226,26.95760867,南京市,50,20
10808,2.82391397,8.846633056,27.5456523,26.96177533,南京市,49,19
10809,2.778051438,8.82437803,27.54930126,26.95819397,南京市,48,18
10810,2.911313246,9.809302779,27.56496664,26.96278247,南京市,47,17
10811,2.696949602,9.749426969,27.56336568,26.96659698,南京市,46,16
10812,1.97764834,10.7847704,27.56006447,26.96324474,南京市,45,15
10813,1.945276225,11.73496022,27.55730875,26.96997754,南京市,44,14
10814,1.942288557,12.67611021,27.55833311,26.98482282,南京市,43,13
10815,2.456323091,13.92973312,27.56626395,27.01348628,南京市,42,12
10816,2.891914934,15.22071635,27.58658013,27.0334448,南京市,41,11
10817,3.664488017,15.9364443,27.59615373,27.04134615,南京市,40,10
10818,4.781124213,16.88354825,27.61333583,27.05648006,南京市,39,9
10819,5.936132942,17.88667337,27.61094698,27.04720513,南京市,38,8
10820,6.996827501,18.4352007,27.6057971,27.02814037,南京市,37,7
10821,7.780198958,18.09032864,27.59469053,27.01500854,南京市,36,6
10822,8.03967803,17.8748436,27.5845317,26.99770097,南京市,35,5
10823,7.818341066,17.95603104,27.58534614,27.00386477,南京市,34,4
10824,7.859571848,17.56675369,27.58511705,27.00865373,南京市,33,3
10825,8.10594866,17.50126581,27.58695645,27.01521719,南京市,32,2
10826,8.338444792,16.5263458,27.59230769,27.03653846,南京市,31,1
10827,8.650833491,16.01511517,27.59372911,27.05372056,南京市,30,0
10828,8.203022121,15.33133107,27.5869981,27.05275891,南京市,29,-1
10829,8.096942157,15.29782076,27.58526555,27.05982282,南京市,28,-2
10830,7.604164695,15.172677,27.57617035,27.05263367,南京市,27,-3
10831,7.691233551,15.19030822,27.56734936,27.052592,南京市,26,-4
10832,6.923910985,14.81619275,27.53305144,27.01718999,南京市,25,-5
10833,5.924187213,14.22672646,27.5168896,27.00890456,南京市,24,-6
10834,5.014572983,13.9472075,27.49951692,27.00213374,南京市,23,-7
10835,4.340532348,13.24568247,27.42721422,26.95925926,南京市,22,-8
10836,3.558263915,12.67137883,27.43353464,26.97065226,南京市,21,-9
10837,2.834437399,12.71424225,27.42408036,26.97265883,南京市,20,-10
10838,2.397916667,12.50585015,27.41001543,26.9578028,南京市,19,-11
10839,2.73185627,13.06514816,27.42801009,26.97445643,南京市,18,-12
10840,3.146553763,13.82459485,27.43574874,26.97347005,南京市,17,-13
10841,3.263780459,13.90744195,27.43578597,26.95735767,南京市,16,-14
10842,3.127604167,12.70520731,27.41062814,26.92326864,南京市,15,-15
10843,2.71567143,11.03295272,27.37938809,26.8753219,南京市,14,-16
10844,2.366698202,9.590302441,27.33784248,26.83035425,南京市,13,-17
10845,2.208609272,8.543512267,27.30689826,26.79882942,南京市,12,-18
10846,1.766863905,7.908939309,27.2747673,26.77604828,南京市,11,-19
10847,1.354007002,7.212730582,27.25595679,26.75995667,南京市,10,-20
10848,1.173501727,6.929399283,27.23772154,26.74653806,南京市,9,-21
10849,0.792530531,5.556718072,27.21191644,26.72294707,南京市,8,-22
10850,0.663875089,5.012362521,27.19311614,26.71453326,南京市,7,-23
10851,0.546151299,3.76623301,27.15468234,26.69581968,南京市,6,-24
10852,0.408452037,3.210341259,27.12826091,26.68843188,南京市,5,-25
10853,0.315034783,3.081387741,27.09251686,26.68403027,南京市,4,-26
10854,0.281186433,3.058341421,27.05292664,26.66509212,南京市,3,-27
10855,0.321193776,4.444056936,27.04086168,26.66690832,南京市,2,-28
10856,0.427307565,5.897180614,27.02081333,26.66948468,南京市,1,-29
10857,0.411497516,6.41980925,26.95338639,26.61906363,南京市,0,-30
