wind dominant direction,frequency
1.0,2
2.0,2
3.0,2
4.0,2
5.0,3
6.0,5
7.0,5
8.0,22
9.0,35
10.0,5
11.0,2
12.0,1
13.0,2
14.0,1
15.0,1
16.0,2
