wind dominant direction,frequency
1.0,6
2.0,3
3.0,8
4.0,10
5.0,13
6.0,8
7.0,4
8.0,10
9.0,8
10.0,5
11.0,2
12.0,2
13.0,3
14.0,3
15.0,5
16.0,2
