wind dominant direction,frequency
1.0,10
2.0,2
3.0,3
4.0,3
5.0,2
6.0,8
7.0,10
8.0,19
9.0,12
10.0,3
11.0,2
12.0,9
13.0,2
14.0,3
15.0,3
16.0,1
