wind dominant direction,frequency
1.0,9
2.0,11
3.0,7
4.0,11
5.0,9
6.0,4
7.0,3
8.0,2
9.0,1
11.0,1
12.0,3
13.0,4
14.0,7
15.0,7
16.0,5
