wind dominant direction,frequency
1.0,10
2.0,6
3.0,4
4.0,6
5.0,5
6.0,8
7.0,15
8.0,12
9.0,10
10.0,6
11.0,1
12.0,1
13.0,1
15.0,5
16.0,1
