wind dominant direction,frequency
1.0,3
2.0,1
3.0,2
4.0,4
5.0,1
6.0,6
7.0,11
8.0,19
9.0,12
10.0,3
11.0,10
12.0,4
13.0,1
14.0,8
15.0,3
16.0,4
