wind dominant direction,frequency
1.0,8
2.0,7
3.0,5
4.0,3
5.0,4
6.0,4
7.0,11
8.0,9
9.0,9
10.0,8
11.0,7
12.0,1
13.0,4
14.0,3
15.0,8
16.0,1
