wind dominant direction,frequency
1.0,9
2.0,4
3.0,3
4.0,2
5.0,3
6.0,9
7.0,23
8.0,9
9.0,3
10.0,5
11.0,3
13.0,1
14.0,6
15.0,9
16.0,3
