wind dominant direction,frequency
1.0,2
2.0,1
3.0,3
4.0,3
5.0,8
6.0,4
7.0,11
8.0,25
9.0,21
10.0,4
11.0,5
12.0,1
13.0,1
14.0,1
15.0,1
16.0,1
