wind dominant direction,frequency
1.0,4
2.0,3
3.0,8
4.0,6
5.0,5
6.0,4
7.0,6
8.0,24
9.0,24
10.0,3
11.0,1
13.0,1
14.0,1
15.0,1
16.0,1
