wind dominant direction,frequency
1.0,8
2.0,8
3.0,3
4.0,2
5.0,3
6.0,11
7.0,15
8.0,14
9.0,10
10.0,4
11.0,1
12.0,3
13.0,1
15.0,6
16.0,3
