wind dominant direction,frequency
1.0,5
2.0,4
3.0,5
4.0,8
5.0,20
6.0,6
7.0,2
8.0,11
9.0,8
10.0,7
11.0,2
13.0,4
14.0,4
15.0,3
16.0,3
