wind dominant direction,frequency
1.0,5
2.0,2
3.0,7
4.0,10
5.0,13
6.0,12
7.0,12
8.0,6
9.0,9
10.0,5
11.0,1
12.0,1
13.0,4
14.0,2
15.0,3
