wind dominant direction,frequency
1.0,7
2.0,11
3.0,5
4.0,6
5.0,4
6.0,3
7.0,16
8.0,20
9.0,9
10.0,3
11.0,2
12.0,1
14.0,1
15.0,2
16.0,1
