wind dominant direction,frequency
1.0,6
2.0,4
3.0,2
4.0,5
6.0,4
7.0,1
8.0,14
9.0,31
10.0,10
11.0,4
12.0,2
13.0,2
14.0,4
15.0,2
16.0,1
