wind dominant direction,frequency
1.0,7
2.0,2
3.0,10
4.0,12
5.0,8
6.0,4
7.0,5
8.0,10
9.0,14
10.0,5
11.0,1
12.0,2
13.0,1
14.0,7
15.0,3
16.0,1
