wind dominant direction,frequency
1.0,19
2.0,7
3.0,4
4.0,10
5.0,11
6.0,8
7.0,4
8.0,5
9.0,4
10.0,2
11.0,2
12.0,3
13.0,4
14.0,2
15.0,6
16.0,1
