FID,BH_2010,BH_2020,MODIS_2010,MODIS_2020,city_name,buffer_id
0,17.46972618588507,22.129009599084245,26.519837188720704,26.489402008056643,北京市,20.0
1,23.065225781551508,23.789105291719785,26.571739196777344,26.532337188720703,北京市,19.0
2,18.386363636363633,21.975302805594342,26.659239196777346,26.599185180664065,北京市,18.0
3,16.029354963306297,21.503531837463377,26.668750000000003,26.617119598388673,北京市,17.0
4,20.142691862707288,21.65385678464716,26.642935180664065,26.63260955810547,北京市,16.0
5,19.34824527574237,21.821351154430488,26.630797322591146,26.670652262369796,北京市,15.0
6,17.66486486486486,22.189765868930643,26.63586934407552,26.669202677408858,北京市,14.0
7,18.219653179190768,21.079407863788777,26.61630325317383,26.667935180664063,北京市,13.0
8,19.107638888888907,21.65257520074243,26.62898457845052,26.696015421549482,北京市,12.0
9,25.305384615384625,23.836402953754767,26.676811726888015,26.76014506022136,北京市,11.0
10,29.63762528912879,25.70566495548595,26.721739196777346,26.767391967773438,北京市,10.0
11,28.05952841128724,24.35296803387729,26.775000000000002,26.778533172607425,北京市,9.0
12,27.888503086419757,24.58705445882436,26.79347839355469,26.803804016113283,北京市,8.0
13,26.925125434195287,26.18596984658922,26.782608795166013,26.795651245117188,北京市,7.0
14,20.372192099147963,21.910142477568208,26.762681070963545,26.77101338704427,北京市,6.0
15,15.991492652745556,20.357838800975248,26.77608744303386,26.721376546223965,北京市,5.0
16,12.145720894371628,22.080153155971217,26.76576080322266,26.666304016113283,北京市,4.0
17,8.142636258214152,14.940136207233776,26.791304779052737,26.65516357421875,北京市,3.0
18,5.55933513722459,7.595770092697832,26.774184417724612,26.649456787109372,北京市,2.0
19,4.674517374517377,6.968888303874868,26.73043441772461,26.665217590332034,北京市,1.0
20,3.766319042101195,6.088841702256884,26.657337188720703,26.63369598388672,北京市,0.0
21,11.835686777920412,22.39920409038813,27.712682088216145,27.604710896809895,上海市,20.0
22,13.021888412017168,24.002047491545724,27.748189290364582,27.597826131184895,上海市,19.0
23,15.351374570446737,23.484225854873657,27.731250762939453,27.642119598388675,上海市,18.0
24,17.97978494623656,24.816787953279455,27.713768513997394,27.661594645182294,上海市,17.0
25,17.190741534504937,23.46933658524315,27.723913574218752,27.635870361328127,上海市,16.0
26,15.459030459030464,23.537852701514655,27.694927978515626,27.59746500651042,上海市,15.0
27,16.570449678800866,25.15777817157785,27.667935180664063,27.563587951660164,上海市,14.0
28,21.714899098325464,26.400050739250567,27.634239959716805,27.48505401611328,上海市,13.0
29,18.725868725868725,24.75871852913288,27.48695678710937,27.371014404296876,上海市,12.0
30,9.6961373390558,23.50787209019516,27.359782918294272,27.31666666666667,上海市,11.0
31,12.028338342636337,29.275002026321868,27.34701080322266,27.31820678710937,上海市,10.0
32,16.928968763371852,29.412146963254376,27.51630554199219,27.413043212890628,上海市,9.0
33,16.160652920962193,29.562393679763336,27.50760904947917,27.420289103190107,上海市,8.0
34,13.820292347377464,26.671148838383136,27.47608642578125,27.39483642578125,上海市,7.0
35,16.07530120481928,29.41247902111132,27.44384053548177,27.337318929036456,上海市,6.0
36,19.698841698841708,27.445703814728095,27.45978240966797,27.37010879516601,上海市,5.0
37,12.882403433476394,21.63323491634709,27.48369547526042,27.41340535481771,上海市,4.0
38,8.401544401544406,18.353832138909237,27.47608642578125,27.390217590332032,上海市,3.0
39,9.09965635738832,19.84685120438084,27.474727630615234,27.41413040161133,上海市,2.0
40,6.197594501718214,17.882223281860348,27.389854939778644,27.43007202148437,上海市,1.0
41,4.040378006872855,14.973753880972811,27.34384053548177,27.433333333333326,上海市,0.0
42,2.130739299610894,15.078261607283848,26.02717437744141,26.638586425781252,天津市,20.0
43,2.511863088292491,17.248784633951452,26.167935180664063,26.77119598388672,天津市,19.0
44,3.188642551536367,14.30462157835654,26.31222915649414,26.825543212890626,天津市,18.0
45,4.502530167380305,12.179215130982575,26.49701156616211,26.89130401611328,天津市,17.0
46,5.772532188841204,16.300670278181727,26.53206481933594,26.856793212890626,天津市,16.0
47,7.704554301284546,18.238039996645867,26.49646682739258,26.755977630615234,天津市,15.0
48,7.967315175097278,13.44958636937318,26.42608642578125,26.73342361450196,天津市,14.0
49,7.028415725963412,19.019910283044933,26.398369598388673,26.83559722900391,天津市,13.0
50,7.597038191738112,22.99793241179992,26.410870361328126,26.905433654785163,天津市,12.0
51,12.14486528699727,24.83234010486428,26.419021606445312,26.935325622558594,天津市,11.0
52,15.399922118380069,27.700560508518045,26.43097839355469,26.903804016113284,天津市,10.0
53,17.83184118333981,25.554940357386513,26.52717437744141,26.942390441894528,天津市,9.0
54,20.591971940763816,24.286728512157094,26.50543441772461,26.938043212890626,天津市,8.0
55,16.25302144249513,21.36765760796092,26.45896682739258,26.94510879516601,天津市,7.0
56,12.950390625000008,20.555997332301708,26.395652008056643,26.90570678710937,天津市,6.0
57,10.590962212699647,18.838786807628946,26.348641204833985,26.80896759033203,天津市,5.0
58,11.539929879236457,19.580860801946336,26.364402008056643,26.775271606445315,天津市,4.0
59,9.878020265003894,19.08660974936052,26.364945220947266,26.78097839355469,天津市,3.0
60,7.476190476190477,20.48491986592611,26.341304016113284,26.774456787109372,天津市,2.0
61,5.698865858427846,18.73229011920614,26.183151245117188,26.620652770996095,天津市,1.0
62,3.077942322681215,13.690928586032417,26.04456481933594,26.45760955810547,天津市,0.0
63,12.039720646006106,23.49684152603149,27.450543212890626,27.950000000000003,重庆市,20.0
64,12.866608544027892,20.886024118673923,27.52744598388672,27.971467590332033,重庆市,19.0
