OID_,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1744,1769,3.000000000000000,0.000300000000000,222.108688354492188,236.141311645507812,14.032623291015625,227.032608032226562,6.447890691138043,681.097824096679688,222.847824096679688,233.482614135742210
1745,1770,2.000000000000000,0.000200000000000,222.847824096679688,233.043472290039062,10.195648193359375,227.945648193359375,5.097824096679688,455.891296386718750,227.945648193359375,232.023907470703136
1746,1771,3.000000000000000,0.000300000000000,221.119567871093750,233.043472290039062,11.923904418945312,228.112319946289062,5.081503664438800,684.336959838867188,230.173919677734375,232.469561767578142
1747,1772,2.000000000000000,0.000200000000000,228.217391967773438,230.173919677734375,1.956527709960938,229.195655822753906,0.978263854980469,458.391311645507812,229.195655822753906,229.978266906738298
1748,1773,4.000000000000000,0.000400000000000,228.217391967773438,233.478256225585938,5.260864257812500,231.070652008056641,2.389495311973119,924.282608032226562,231.293479919433594,233.452172851562523
1749,1774,3.000000000000000,0.000300000000000,229.195648193359375,234.543472290039062,5.347824096679688,232.376810709635407,2.298073795438469,697.130432128906250,233.391311645507812,234.313040161132818
1750,1775,3.000000000000000,0.000300000000000,230.163040161132812,234.543472290039062,4.380432128906250,232.239125569661468,1.795573042950132,696.717376708984375,232.010864257812500,234.036950683593744
1751,1776,2.000000000000000,0.000200000000000,229.934783935546875,230.163040161132812,0.228256225585938,230.048912048339844,0.114128112792969,460.097824096679688,230.048912048339844,230.140214538574213
1752,1777,3.000000000000000,0.000300000000000,224.347824096679688,229.934783935546875,5.586959838867188,227.815216064453125,2.471976591983499,683.445648193359375,229.163040161132812,229.780435180664057
1753,1778,3.000000000000000,0.000300000000000,227.097824096679688,229.913040161132812,2.815216064453125,228.724634806315095,1.190380839266259,686.173904418945312,229.163040161132812,229.763040161132807
1754,1779,4.000000000000000,0.000400000000000,227.097824096679688,230.750000000000000,3.652175903320312,229.043476104736328,1.401015405761541,916.173904418945312,229.163040161132812,230.498912048339832
1755,1780,3.000000000000000,0.000300000000000,228.413040161132812,231.108688354492188,2.695648193359375,230.090576171875000,1.195201415219680,690.271728515625000,230.750000000000000,231.036950683593744
1756,1781,3.000000000000000,0.000300000000000,224.945648193359375,232.586959838867188,7.641311645507812,229.547098795572907,3.309212633325093,688.641296386718750,231.108688354492188,232.291305541992188
1757,1782,2.000000000000000,0.000200000000000,224.945648193359375,233.358688354492188,8.413040161132812,229.152168273925781,4.206520080566406,458.304336547851562,229.152168273925781,232.517384338378889
1758,1783,3.000000000000000,0.000300000000000,221.478256225585938,233.358688354492188,11.880432128906250,228.489125569661468,5.081014480585909,685.467376708984375,230.630432128906250,232.813037109375017
1759,1784,3.000000000000000,0.000300000000000,226.521743774414062,234.152175903320312,7.630432128906250,230.434783935546875,3.118181337482345,691.304351806640625,230.630432128906250,233.447827148437511
1760,1785,3.000000000000000,0.000300000000000,238.097824096679688,242.923919677734375,4.826095581054688,240.423914591471345,1.974079423125942,721.271743774414062,240.250000000000000,242.389135742187506
1761,1786,4.000000000000000,0.000400000000000,238.097824096679688,243.728256225585938,5.630432128906250,241.915760040283203,2.228942057637666,967.663040161132812,242.918479919433594,243.486955261230491
1762,1787,3.000000000000000,0.000300000000000,242.913040161132812,245.967391967773438,3.054351806640625,244.202896118164062,1.291311609798901,732.608688354492188,243.728256225585938,245.519564819335926
