date,省,省代码,市,市代码,dominant_wind_direction,eastward_wind_speed,northward_wind_speed,angle
2020/8/13,江苏省,320000,南京市,320100,9,4.101967096,7.555954695,208.496594
2020/8/14,江苏省,320000,南京市,320100,9,2.95601368,5.229080677,209.4795954
2020/8/15,江苏省,320000,南京市,320100,8,0.766456425,3.997119665,190.8548307
2020/8/16,江苏省,320000,南京市,320100,8,-0.272807166,3.037286282,174.8675013
2020/8/17,江苏省,320000,南京市,320100,6,-3.175735831,4.317235231,143.6619931
2020/8/18,江苏省,320000,南京市,320100,7,-2.405460715,4.563158512,152.2041251
2020/8/19,江苏省,320000,南京市,320100,6,-1.698550165,1.795182347,136.5843242
2020/8/20,江苏省,320000,南京市,320100,2,-3.564120412,-3.891690612,42.48433432
2020/8/21,江苏省,320000,南京市,320100,3,-5.09529376,-2.112125874,67.48477823
2020/8/22,江苏省,320000,南京市,320100,4,-4.195061445,0.37311393,95.08258333
2020/8/23,江苏省,320000,南京市,320100,6,-2.600860357,3.124682426,140.2273602
2020/8/24,江苏省,320000,南京市,320100,10,1.867582977,1.915291488,224.2774406
2020/8/25,江苏省,320000,南京市,320100,14,2.843364358,-3.512836337,321.0125562
2020/8/26,江苏省,320000,南京市,320100,1,0.509791017,-1.275575697,338.2156017
2020/8/27,江苏省,320000,南京市,320100,,-0.313264638,-3.2235322,5.550605845
2020/8/28,江苏省,320000,南京市,320100,1,-2.160426974,-4.505090714,25.62015796
2020/8/29,江苏省,320000,南京市,320100,1,-2.587458491,-4.497244835,29.91367048
2020/8/30,江苏省,320000,南京市,320100,6,-1.830599725,2.153066158,139.6278403
2020/8/31,江苏省,320000,南京市,320100,4,-1.918030024,0.128376558,93.82917923
