city_name,year,R,R的平方,p值,RMSE,样本数量
七台河市,2010,0.7752,0.6009,3.052400e-07,0.2171,31.0
七台河市,2020,0.9647,0.9307,3.552200e-17,0.0636,29.0
万宁市,2010,0.7118,0.5067,6.296400e-04,0.2329,19.0
万宁市,2020,0.9821,0.9646,9.002900e-14,0.0572,19.0
三亚市,2010,0.6643,0.4413,7.238500e-02,0.0301,8.0
三亚市,2020,0.8252,0.681,1.166200e-02,0.0326,8.0
三明市,2010,0.8456,0.715,4.068100e-09,0.6289,30.0
三明市,2020,0.9895,0.9791,3.273600e-24,0.1724,29.0
三门峡市,2010,0.5403,0.2919,1.703700e-03,0.3747,31.0
三门峡市,2020,0.5941,0.3529,5.377500e-04,0.3085,30.0
上海市,2010,0.9927,0.9854,5.807000e-31,0.0316,34.0
上海市,2020,0.9781,0.9567,4.427600e-24,0.0366,35.0
上饶市,2010,0.8388,0.7035,1.330600e-08,0.248,29.0
上饶市,2020,0.9306,0.866,2.681800e-13,0.1832,29.0
东方市,2010,0.6367,0.4054,1.551600e-04,0.0563,30.0
东方市,2020,0.5491,0.3016,1.673600e-03,0.0768,30.0
东莞市,2010,0.9902,0.9805,2.449900e-26,0.0544,31.0
东莞市,2020,0.9947,0.9895,3.133900e-29,0.0436,30.0
东营市,2010,0.9272,0.8597,4.994600e-13,0.0887,29.0
东营市,2020,0.9389,0.8816,5.011800e-14,0.0585,29.0
中卫市,2010,0.4901,0.2402,5.128400e-03,0.7347,31.0
中卫市,2020,0.5405,0.2922,1.694500e-03,0.601,31.0
中山市,2010,0.8062,0.65,1.298400e-07,0.1401,29.0
中山市,2020,0.9666,0.9343,4.346200e-18,0.1092,30.0
临夏回族自治州,2010,0.4285,0.1837,1.813800e-02,0.3653,30.0
临夏回族自治州,2020,0.56,0.3136,1.289800e-03,0.4589,30.0
临汾市,2010,0.8367,0.7001,4.525000e-09,0.7057,31.0
临汾市,2020,0.9635,0.9283,5.563100e-17,0.4025,29.0
临沂市,2010,0.9661,0.9333,5.299600e-18,0.0522,30.0
临沂市,2020,0.9918,0.9837,1.373500e-26,0.022,30.0
临沧市,2010,0.429,0.1841,1.602700e-02,0.8909,31.0
临沧市,2020,0.3951,0.1561,2.782500e-02,0.9415,31.0
临高县,2010,0.7612,0.5794,1.041700e-06,0.041,30.0
临高县,2020,0.7812,0.6103,5.682500e-07,0.0638,29.0
丹东市,2010,0.9273,0.8599,2.372800e-07,0.0286,16.0
丹东市,2020,0.7427,0.5515,1.516300e-03,0.0342,15.0
丽水市,2010,0.7425,0.5513,2.632800e-06,1.0127,30.0
丽水市,2020,0.8205,0.6732,5.068100e-08,0.8972,29.0
丽江市,2010,0.9706,0.9421,3.081300e-18,0.2671,29.0
丽江市,2020,0.9619,0.9252,7.188600e-18,0.3874,31.0
乌兰察布市,2010,0.2382,0.0567,2.134500e-01,0.1737,29.0
乌兰察布市,2020,0.6,0.36,5.806900e-04,0.1299,29.0
乌海市,2010,0.868,0.7534,1.074100e-09,0.2292,29.0
乌海市,2020,0.8384,0.7028,7.362200e-09,0.2014,30.0
乌鲁木齐市,2010,0.9048,0.8186,1.637800e-11,0.2255,29.0
乌鲁木齐市,2020,0.4502,0.2027,1.425300e-02,0.3452,29.0
乐东黎族自治县,2010,0.7901,0.6242,2.077800e-07,0.1676,30.0
乐东黎族自治县,2020,0.8718,0.76,3.569000e-10,0.1123,30.0
乐山市,2010,0.8819,0.7778,1.204300e-10,0.0421,30.0
乐山市,2020,0.5655,0.3198,9.166100e-04,0.0871,31.0
九江市,2010,0.9192,0.8449,1.946600e-12,0.6457,29.0
九江市,2020,0.9809,0.9622,1.853300e-21,0.2536,30.0
云浮市,2010,0.3653,0.1334,5.136800e-02,0.1627,29.0
云浮市,2020,0.7535,0.5677,2.381700e-06,0.1666,29.0
五家渠市,2010,0.278,0.0773,1.300300e-01,0.7975,31.0
五家渠市,2020,0.8401,0.7058,1.195800e-08,0.3247,29.0
五指山市,2010,0.3912,0.153,2.954200e-02,0.575,31.0
五指山市,2020,0.4118,0.1696,2.134800e-02,0.4872,31.0
亳州市,2010,0.4147,0.172,2.034500e-02,0.0796,31.0
亳州市,2020,0.9723,0.9454,1.398300e-18,0.042,29.0
仙桃市,2010,0.8688,0.7549,2.032700e-09,0.0235,28.0
仙桃市,2020,0.7531,0.5672,1.566300e-06,0.0103,30.0
伊春市,2010,0.4423,0.1957,1.271400e-02,0.0917,31.0
伊春市,2020,0.6433,0.4138,9.477000e-05,0.0991,31.0
伊犁哈萨克自治州,2010,0.9689,0.9387,6.639700e-18,0.0421,29.0
伊犁哈萨克自治州,2020,0.9701,0.9411,9.262500e-19,0.0621,30.0
佛山市,2010,0.9757,0.952,2.453100e-19,0.0349,29.0
佛山市,2020,0.8575,0.7354,7.200900e-10,0.0349,31.0
佳木斯市,2010,0.8274,0.6846,9.460800e-09,0.1938,31.0
佳木斯市,2020,0.9297,0.8644,4.115600e-14,0.1141,31.0
保亭黎族苗族自治县,2010,0.8737,0.7633,1.284200e-09,0.0454,28.0
保亭黎族苗族自治县,2020,0.7117,0.5066,7.137200e-06,0.1478,31.0
保定市,2010,0.9941,0.9883,1.307700e-28,0.0337,30.0
保定市,2020,0.9936,0.9872,4.976300e-28,0.036,30.0
保山市,2010,0.1401,0.0196,4.520600e-01,1.0759,31.0
保山市,2020,0.7445,0.5542,2.394300e-06,0.735,30.0
信阳市,2010,0.472,0.2228,9.735200e-03,0.2054,29.0
信阳市,2020,0.7387,0.5457,4.742600e-06,0.1256,29.0
儋州市,2010,0.7872,0.6197,4.070900e-07,0.0983,29.0
儋州市,2020,0.9494,0.9013,4.213700e-15,0.0663,29.0
克孜勒苏柯尔克孜自治州,2010,0.4233,0.1792,1.764700e-02,0.8135,31.0
克孜勒苏柯尔克孜自治州,2020,0.9207,0.8477,1.520300e-12,0.3218,29.0
克拉玛依市,2010,0.8965,0.8036,2.094200e-11,0.2308,30.0
克拉玛依市,2020,0.8859,0.7847,7.663900e-11,0.2105,30.0
六安市,2010,0.8522,0.7262,1.184700e-09,0.0826,31.0
六安市,2020,0.9827,0.9657,8.584500e-23,0.0283,31.0
六盘水市,2010,0.0762,0.0058,6.835700e-01,0.5998,31.0
六盘水市,2020,0.7861,0.6179,1.600600e-07,0.3907,31.0
兰州市,2010,0.5006,0.2506,4.845300e-03,0.2828,30.0
兰州市,2020,0.2998,0.0899,1.141100e-01,0.2559,29.0
兴安盟,2010,0.7385,0.5454,2.106200e-06,0.0598,31.0
兴安盟,2020,0.6209,0.3855,2.510200e-04,0.0327,30.0
内江市,2010,0.7559,0.5713,2.122500e-06,0.0074,29.0
内江市,2020,0.9932,0.9865,1.121700e-28,0.0109,31.0
凉山彝族自治州,2010,0.5282,0.279,2.696700e-03,0.8084,30.0
凉山彝族自治州,2020,0.93,0.8649,1.076600e-13,0.4538,30.0
包头市,2010,0.9023,0.8141,2.291100e-11,0.1791,29.0
包头市,2020,0.9619,0.9253,2.607900e-17,0.0949,30.0
北京市,2010,0.9975,0.9949,7.759200e-35,0.0343,31.0
北京市,2020,0.9936,0.9872,4.588100e-28,0.0335,30.0
北屯市,2010,,0.0,nan,0.2473,31.0
北屯市,2020,0.6933,0.4806,2.168300e-05,0.0688,30.0
北海市,2010,0.7607,0.5787,4.707300e-02,0.0229,7.0
北海市,2020,0.9952,0.9905,3.405100e-05,0.0051,6.0
十堰市,2010,0.8712,0.759,3.792000e-10,0.0513,30.0
十堰市,2020,0.9543,0.9106,1.107100e-15,0.0469,29.0
南京市,2010,0.9859,0.9719,2.879200e-23,0.0293,30.0
南京市,2020,0.9927,0.9855,2.835600e-27,0.0171,30.0
南充市,2010,0.9638,0.9289,1.898300e-16,0.028,28.0
南充市,2020,0.9909,0.9819,4.568400e-25,0.0198,29.0
南宁市,2010,0.9645,0.9302,3.857500e-17,0.014,29.0
南宁市,2020,0.9547,0.9115,9.716400e-16,0.0196,29.0
南平市,2010,0.5731,0.3285,1.154700e-03,0.8259,29.0
南平市,2020,0.9081,0.8247,1.028900e-11,0.4062,29.0
南昌市,2010,0.9801,0.9605,3.420000e-21,0.0141,30.0
南昌市,2020,0.9857,0.9717,3.270700e-23,0.0156,30.0
南通市,2010,0.6142,0.3772,2.375200e-04,0.0765,31.0
南通市,2020,0.7505,0.5632,1.162100e-06,0.0421,31.0
南阳市,2010,0.9047,0.8185,1.648400e-11,0.0636,29.0
南阳市,2020,0.9461,0.895,3.098600e-15,0.0273,30.0
博尔塔拉蒙古自治州,2010,0.2717,0.0738,1.392100e-01,0.8045,31.0
博尔塔拉蒙古自治州,2020,0.8593,0.7384,1.208800e-09,0.3693,30.0
厦门市,2010,0.3837,0.1472,3.312300e-02,0.26,31.0
厦门市,2020,0.7131,0.5084,9.780200e-06,0.2224,30.0
双河市,2010,,0.0,nan,0.925,31.0
双河市,2020,0.6658,0.4432,8.097000e-05,0.6161,29.0
双鸭山市,2010,0.8747,0.7651,5.535500e-10,0.0628,29.0
双鸭山市,2020,0.9209,0.8481,1.463000e-12,0.0621,29.0
可克达拉市,2010,,-0.0,nan,0.2402,29.0
可克达拉市,2020,0.7652,0.5855,5.340300e-07,0.1366,31.0
台州市,2010,0.903,0.8155,8.727800e-12,0.0516,30.0
台州市,2020,0.9758,0.9522,4.981900e-20,0.0256,30.0
台湾省,2010,0.8266,0.6833,1.008700e-08,0.8407,31.0
台湾省,2020,0.9583,0.9183,2.562100e-17,0.481,31.0
合肥市,2010,0.9979,0.9958,7.658400e-35,0.0105,30.0
合肥市,2020,0.9771,0.9548,2.273400e-20,0.0437,30.0
吉安市,2010,0.8983,0.8069,3.843300e-11,0.0422,29.0
吉安市,2020,0.8936,0.7985,3.025100e-11,0.0605,30.0
吉林市,2010,0.8446,0.7133,8.400000e-09,0.1344,29.0
吉林市,2020,0.9489,0.9004,4.608000e-16,0.0926,31.0
吐鲁番市,2010,0.7052,0.4973,1.940800e-05,1.2153,29.0
吐鲁番市,2020,0.7782,0.6056,4.151800e-07,1.6796,30.0
吕梁市,2010,0.9327,0.8699,6.360100e-14,0.4274,30.0
吕梁市,2020,0.9887,0.9775,1.948000e-25,0.1611,31.0
吴忠市,2010,0.1394,0.0194,4.545300e-01,0.3262,31.0
吴忠市,2020,0.5677,0.3223,8.645100e-04,0.2317,31.0
周口市,2010,0.9806,0.9616,1.180400e-20,0.0227,29.0
周口市,2020,0.9899,0.9799,2.604500e-25,0.0132,30.0
呼伦贝尔市,2010,0.619,0.3832,2.051300e-04,0.1232,31.0
呼伦贝尔市,2020,0.8114,0.6583,5.347800e-08,0.0815,30.0
呼和浩特市,2010,0.8874,0.7876,3.107000e-10,0.1295,28.0
呼和浩特市,2020,0.9546,0.9113,9.978500e-16,0.0724,29.0
和田地区,2010,0.9735,0.9477,7.734400e-19,0.1192,29.0
和田地区,2020,0.9728,0.9463,4.876700e-18,0.132,28.0
咸宁市,2010,0.5945,0.3535,5.311100e-04,0.4835,30.0
咸宁市,2020,0.9215,0.8492,5.062700e-13,0.2347,30.0
咸阳市,2010,0.8154,0.6648,4.069500e-08,0.0448,30.0
咸阳市,2020,0.8153,0.6648,2.322000e-08,0.074,31.0
哈密市,2010,0.4987,0.2487,4.299800e-03,0.4469,31.0
哈密市,2020,0.7586,0.5754,7.628000e-07,0.2988,31.0
哈尔滨市,2010,0.9968,0.9936,4.637600e-30,0.0223,28.0
哈尔滨市,2020,0.9969,0.9937,1.714100e-33,0.0277,31.0
唐山市,2010,0.9882,0.9765,3.624900e-25,0.0314,31.0
唐山市,2020,0.9938,0.9876,3.294300e-29,0.0364,31.0
商丘市,2010,0.9007,0.8113,5.086000e-12,0.0318,31.0
商丘市,2020,0.9872,0.9745,7.307300e-24,0.0177,30.0
商洛市,2010,0.2152,0.0463,2.450100e-01,0.3907,31.0
商洛市,2020,0.2475,0.0612,1.795000e-01,0.4672,31.0
喀什地区,2010,0.6244,0.3898,3.838100e-04,0.1021,28.0
喀什地区,2020,0.8912,0.7943,4.038400e-11,0.0489,30.0
嘉兴市,2010,0.9839,0.968,1.026400e-21,0.0176,29.0
嘉兴市,2020,0.8972,0.805,1.903300e-11,0.0533,30.0
嘉峪关市,2010,0.7911,0.6258,1.178100e-07,0.2859,31.0
嘉峪关市,2020,0.9633,0.928,1.557100e-17,0.1295,30.0
四平市,2010,0.8096,0.6554,1.046000e-07,0.0729,29.0
四平市,2020,0.91,0.8282,7.843100e-12,0.0411,29.0
固原市,2010,0.4464,0.1993,1.520300e-02,0.2864,29.0
固原市,2020,0.7845,0.6155,1.760700e-07,0.2542,31.0
图木舒克市,2010,0.5244,0.275,2.459200e-03,0.071,31.0
图木舒克市,2020,0.9871,0.9744,2.075800e-21,0.0246,27.0
塔城地区,2010,0.6001,0.3601,6.601900e-03,0.0241,19.0
塔城地区,2020,0.8513,0.7248,9.906400e-07,0.0836,21.0
大兴安岭地区,2010,0.9586,0.9189,1.062400e-15,0.0359,28.0
大兴安岭地区,2020,,0.0,nan,0.1775,30.0
大同市,2010,0.5463,0.2984,1.477000e-03,0.1729,31.0
大同市,2020,0.9196,0.8456,2.737400e-13,0.0796,31.0
大庆市,2010,0.5051,0.2551,4.413000e-03,0.054,30.0
大庆市,2020,0.5524,0.3051,1.272800e-03,0.114,31.0
大理白族自治州,2010,0.3342,0.1117,7.638800e-02,0.9116,29.0
大理白族自治州,2020,0.7435,0.5528,3.818100e-06,0.7297,29.0
大连市,2010,0.9965,0.993,1.415800e-06,0.0162,7.0
大连市,2020,0.9995,0.9989,1.321300e-08,0.0052,7.0
天水市,2010,0.6928,0.4799,3.113800e-05,0.4765,29.0
天水市,2020,0.8344,0.6963,1.853800e-08,0.2799,29.0
天津市,2010,0.9894,0.979,4.878100e-25,0.0407,30.0
天津市,2020,0.9836,0.9674,1.316300e-21,0.0513,29.0
天门市,2010,0.8777,0.7703,9.058900e-11,0.0256,31.0
天门市,2020,0.8682,0.7537,1.053900e-09,0.0247,29.0
太原市,2010,0.9385,0.8807,1.872800e-14,0.0574,30.0
太原市,2020,0.94,0.8835,4.001200e-14,0.0733,29.0
威海市,2010,0.6091,0.371,4.539500e-04,0.1339,29.0
威海市,2020,0.83,0.689,2.569000e-08,0.0463,29.0
娄底市,2010,0.1762,0.031,3.430800e-01,0.1035,31.0
娄底市,2020,0.7536,0.5679,2.372700e-06,0.0884,29.0
孝感市,2010,0.6654,0.4427,6.017800e-05,0.0638,30.0
孝感市,2020,0.7829,0.613,1.937900e-07,0.0898,31.0
宁德市,2010,0.8166,0.6668,3.741000e-08,0.4294,30.0
宁德市,2020,0.8971,0.8048,1.023300e-10,0.2752,28.0
宁波市,2010,0.9889,0.978,6.508100e-24,0.0797,29.0
宁波市,2020,0.9935,0.987,5.175000e-27,0.0569,29.0
安庆市,2010,0.6362,0.4047,1.197900e-04,0.1013,31.0
安庆市,2020,0.9575,0.9169,3.315100e-17,0.0375,31.0
安康市,2010,0.6243,0.3898,1.741900e-04,0.3308,31.0
安康市,2020,0.672,0.4516,3.472100e-05,0.3443,31.0
安阳市,2010,0.8036,0.6457,5.253500e-08,0.0302,31.0
安阳市,2020,0.9541,0.9104,1.145400e-15,0.0259,29.0
安顺市,2010,0.0697,0.0049,7.192300e-01,0.1234,29.0
安顺市,2020,0.6259,0.3917,1.660800e-04,0.1455,31.0
定安县,2010,0.475,0.2256,6.925700e-03,0.0589,31.0
定安县,2020,0.6736,0.4537,4.504200e-05,0.0544,30.0
定西市,2010,0.8008,0.6412,6.322100e-08,0.2073,31.0
定西市,2020,0.902,0.8136,4.275800e-12,0.1192,31.0
宜宾市,2010,0.6432,0.4137,9.507300e-05,0.074,31.0
宜宾市,2020,0.8958,0.8024,9.970500e-12,0.0275,31.0
宜昌市,2010,0.3945,0.1556,2.810000e-02,0.1432,31.0
宜昌市,2020,0.8407,0.7068,1.145000e-08,0.0822,29.0
宜春市,2010,0.6672,0.4451,4.144600e-05,0.7978,31.0
宜春市,2020,0.9609,0.9234,3.738000e-17,0.3114,30.0
宝鸡市,2010,0.9603,0.9221,6.272800e-16,0.087,28.0
宝鸡市,2020,0.9355,0.8751,1.025400e-13,0.1205,29.0
宣城市,2010,0.5704,0.3253,8.075100e-04,0.3049,31.0
宣城市,2020,0.8197,0.672,1.687500e-08,0.168,31.0
宿州市,2010,0.9949,0.9899,1.850100e-28,0.0261,29.0
宿州市,2020,0.9927,0.9855,2.809200e-27,0.0115,30.0
宿迁市,2010,0.9955,0.991,3.425700e-30,0.0106,30.0
宿迁市,2020,0.9876,0.9753,4.740300e-24,0.0182,30.0
屯昌县,2010,0.7415,0.5499,2.754700e-06,0.1126,30.0
屯昌县,2020,0.8743,0.7643,5.783600e-10,0.1416,29.0
山南市,2010,0.0965,0.0093,6.184000e-01,1.2326,29.0
山南市,2020,0.942,0.8874,2.537300e-14,0.4689,29.0
岳阳市,2010,0.9586,0.9188,2.995900e-16,0.0212,29.0
岳阳市,2020,0.9464,0.8956,2.868000e-15,0.0191,30.0
崇左市,2010,0.847,0.7174,3.614800e-09,0.0836,30.0
崇左市,2020,0.7458,0.5562,1.472500e-06,0.1382,31.0
巴中市,2010,0.6028,0.3633,3.324200e-04,0.839,31.0
巴中市,2020,0.9202,0.8467,1.664200e-12,0.4668,29.0
巴彦淖尔市,2010,0.9545,0.9111,2.983000e-16,0.0442,30.0
巴彦淖尔市,2020,0.9273,0.86,1.785400e-13,0.0482,30.0
巴音郭楞蒙古自治州,2010,0.7732,0.5978,8.803600e-07,0.2986,29.0
巴音郭楞蒙古自治州,2020,0.687,0.4719,3.855800e-05,0.394,29.0
常州市,2010,0.9931,0.9863,1.198400e-27,0.0116,30.0
常州市,2020,0.9612,0.924,9.048900e-18,0.0305,31.0
常德市,2010,0.9176,0.8419,3.845400e-13,0.0863,31.0
常德市,2020,0.9889,0.9779,6.848700e-24,0.0239,29.0
平凉市,2010,0.793,0.6288,1.745100e-07,0.0917,30.0
平凉市,2020,0.5295,0.2804,2.619100e-03,0.1266,30.0
平顶山市,2010,0.9379,0.8796,7.309700e-15,0.0483,31.0
平顶山市,2020,0.9377,0.8792,2.226500e-14,0.0705,30.0
广元市,2010,0.7567,0.5725,2.041800e-06,0.4126,29.0
广元市,2020,0.7763,0.6027,2.855000e-07,0.4334,31.0
广安市,2010,0.359,0.1289,4.735200e-02,0.8164,31.0
广安市,2020,0.9222,0.8504,1.716400e-13,0.3659,31.0
广州市,2010,0.9784,0.9573,1.022000e-20,0.0298,30.0
广州市,2020,0.8708,0.7583,1.911500e-10,0.0446,31.0
庆阳市,2010,0.6154,0.3787,2.952500e-04,0.2204,30.0
庆阳市,2020,0.9681,0.9372,2.288700e-18,0.0491,30.0
廊坊市,2010,0.8439,0.7122,8.887200e-09,0.0359,29.0
廊坊市,2020,0.9328,0.8702,6.164400e-14,0.0408,30.0
延安市,2010,0.8287,0.6868,1.554500e-08,0.2996,30.0
延安市,2020,0.9203,0.847,6.196300e-13,0.144,30.0
延边朝鲜族自治州,2010,0.7772,0.604,2.719600e-07,0.2839,31.0
延边朝鲜族自治州,2020,0.9098,0.8277,1.352800e-12,0.2012,31.0
开封市,2010,0.9349,0.874,1.416500e-14,0.0356,31.0
开封市,2020,0.9888,0.9777,1.154300e-24,0.0223,30.0
张家口市,2010,0.4202,0.1766,2.077800e-02,0.1611,30.0
张家口市,2020,0.9512,0.9047,8.642700e-15,0.0526,28.0
张家界市,2010,0.8263,0.6827,6.088500e-08,0.5493,28.0
张家界市,2020,0.7778,0.605,6.860400e-07,0.629,29.0
张掖市,2010,0.4219,0.178,1.808500e-02,0.1318,31.0
张掖市,2020,0.3266,0.1067,7.292200e-02,0.0803,31.0
徐州市,2010,0.9901,0.9804,1.875400e-25,0.035,30.0
徐州市,2020,0.9864,0.973,1.685700e-23,0.0138,30.0
德宏傣族景颇族自治州,2010,0.579,0.3352,6.439000e-04,0.4326,31.0
德宏傣族景颇族自治州,2020,0.9815,0.9633,1.216100e-21,0.1337,30.0
德州市,2010,0.9835,0.9674,1.327500e-21,0.0362,29.0
德州市,2020,0.9887,0.9775,1.266900e-24,0.0262,30.0
德阳市,2010,0.7476,0.5589,3.155700e-06,0.0214,29.0
