city,size_1,BH_2010,BH_2020,UHAE_range,UHAE_temp,range_2010,temp_2010,range_2020,temp_2020,GDP,population,风向差(绝对值),speed_2010(m/s),speed_2020(m/s),size_2,center_bh_rise(m)
常州市,middle,10.9184478,23.2730187,12.90111143,1.032289252,5.189678495,0.644848973,17.9842543,1.680807908,7810.32,532.042101,22.5,4.299221717,4.528330713,middle,12.3545709
平顶山市,middle,11.61026713,18.78995038,8.832042279,0.634246093,6.376121495,0.65451729,11.55602656,1.08422478,2418.24,502.1023235,0,3.566551865,3.777604364,middle,7.17968325
徐州市,middle,11.1169766,17.40156653,8.686838672,0.585283853,5.871713146,0.588003512,11.03361486,1.158480241,7284.77,916.5641529,22.5,4.170478944,4.143899492,middle,6.28458993
德州市,middle,7.688359507,15.91381395,10.23336252,0.710173085,6.432662525,0.37147034,13.46014922,1.064890402,3078.99,563.4876052,0,3.518003217,3.92275585,middle,8.225454443
怀化市,middle,7.195710191,19.52522661,10.77130076,0.929597789,3.501000958,0.750049808,14.2655661,1.648867101,1671.87,460.079678,22.5,3.758751198,4.107216257,middle,12.32951642
惠州市,middle,10.48313568,17.09440405,8.804508599,0.647855244,5.868298158,0.77499977,11.46102615,0.855621473,4283.72,615.2160482,0,4.05177158,4.330216133,middle,6.61126837
曲靖市,middle,3.393808205,13.68654638,10.12476094,0.82317513,1.366765803,0.111108976,13.49617365,0.983105432,2959.35,587.0201901,22.5,3.851299415,4.576844963,middle,10.29273818
柳州市,middle,10.44706659,18.90619198,10.79826043,0.73298578,2.851269882,0.774579481,6.357798374,0.957533232,3051.3,420.7611309,0,4.547961467,5.401778454,middle,8.45912539
株洲市,middle,6.715828935,16.27842789,9.775589896,0.806927165,6.88000379,0.496566478,7.604608887,0.978942483,3081.41,392.429335,0,3.957749027,4.559908172,middle,9.562598955
榆林市,middle,4.526519143,11.12439748,9.276235327,0.738941434,1.4,0.182042052,5.972802652,0.66703755,4143.93,371.1017059,0,4.16372203,4.065318143,middle,6.597878337
汕头市,middle,14.11926559,22.15077323,10.05052899,0.734172588,7.71775096,1.011776268,17.08364637,1.35685452,2704.74,559.371888,22.5,4.532771659,4.470861029,middle,8.03150764
江门市,middle,12.40697674,19.85510339,8.261883916,0.737703025,8.921820438,0.932635419,15.42482934,1.308335457,3202.97,485.5634697,0,4.734075133,5.053727652,middle,7.44812665
沈阳市,middle,16.5949652,21.6594268,8.23391233,0.476298178,13.28466931,1.086279904,10.70132133,1.186374066,6571.56,913.1234318,0,4.660529279,4.967532919,middle,5.0644616
泰州市,middle,8.213982651,15.65739148,13.81213875,0.638641169,4.50216116,0.483954594,12.03829827,0.985858445,5297.77,449.739345,0,4.188170018,4.645154562,middle,7.443408829
泸州市,middle,6.124707031,18.80032825,10.89732007,0.958893178,8.177550296,0.448147839,13.66942981,1.092873136,2162.63,427.6783684,22.5,3.253597137,3.430138628,middle,12.67562122
洛阳市,middle,6.5128641,16.6593452,12.23515673,0.737384626,0.889616924,0.557937058,5.518100731,0.981514492,5081.9,714.3131939,0,2.870271177,3.202814245,middle,10.1464811
济宁市,middle,9.841147019,19.2623801,10.69119587,0.858620073,3.187393758,0.556182139,20.28347136,1.319130802,4494.31,838.2780609,45,3.999002848,4.062964612,middle,9.421233081
淄博市,middle,10.28892765,19.66702313,9.515455058,0.9067699,8.987345043,0.86631198,13.90123115,1.325200253,3649.63,473.0041936,45,3.742199811,3.957847674,middle,9.37809548
淮安市,middle,8.117420015,22.51565807,11.58853234,1.017483991,4.097425171,0.234336323,9.782877403,1.384586898,4003.37,457.8492378,0,4.282408552,4.466915262,middle,14.39823806
渭南市,middle,4.34779608,13.629888,9.196794606,0.825207802,1.811123415,0.099999991,8.455830895,0.549649636,1856.42,471.7781261,22.5,2.657127024,2.846551384,middle,9.28209192
湛江市,middle,8.567911494,20.6560602,12.46629242,0.883373678,4.688459837,0.668509001,19.23945404,1.274121328,3103.32,706.1362612,22.5,5.218894273,5.082207135,middle,12.08814871
漳州市,middle,9.539752561,16.63582897,8.772443989,0.731643249,7.522788718,0.508830899,13.12140259,1.213942278,4545.61,508.2368629,22.5,3.44853891,3.590612758,middle,7.096076409
潍坊市,middle,8.464883992,21.38645285,13.97894132,1.122686801,4.551040656,0.485044838,16.82447924,1.388896439,5872.17,944.0417232,22.5,4.150990731,4.15130912,middle,12.92156886
烟台市,middle,7.124639738,15.44674015,9.798576965,0.892717219,3.650496269,0.185369369,5.515488361,0.816395228,7718.46,705.6348192,0,3.971462292,4.011443078,middle,8.322100412
红河哈尼族彝族自治州,middle,4.550286474,12.90897246,8.956183901,0.626483269,2.249092438,0.569781062,17.56103496,1.13970881,2417.48,453.4415935,0,3.388812341,3.840004434,middle,8.358685986
绍兴市,middle,6.418645133,16.60278631,11.36107237,0.768060748,1.693046538,0.131004298,8.815026476,0.846683185,6000.66,530.4160465,45,3.889390754,4.024972711,middle,10.18414118
聊城市,middle,7.449175762,17.25412263,10.86028033,0.754091229,2.43242099,0.490459636,6.87942789,0.94111462,2316.84,598.0418165,0,3.803921128,3.918361255,middle,9.804946868
芜湖市,middle,7.687145513,17.72817626,10.80111306,0.852241365,2.825297615,0.20336815,11.05379769,0.896080463,3714.14,367.4951198,0,4.014564693,4.205785681,middle,10.04103075
茂名市,middle,8.543676258,22.12534465,12.45659767,1.001935412,4.203444112,0.427750166,14.70051706,1.41893661,3285.44,626.412573,0,4.969808311,5.182663377,middle,13.58166839
荆州市,middle,6.615695715,23.04274159,15.16036339,1.181139124,6.524030263,0.136701617,14.76450757,1.365931242,2369.04,524.0975346,0,4.190355131,4.034603042,middle,16.42704588
菏泽市,middle,5.932013141,17.16621952,10.23774663,0.899940656,2.626488395,0.637156984,12.14036883,0.849333465,3483.11,885.2994628,45,3.79122769,4.030838689,middle,11.23420638
襄阳市,middle,9.787099215,13.62596451,7.569882993,0.630585029,3.715328385,0.329827748,9.037833219,0.934153292,4601.97,528.4932089,22.5,2.785981202,2.901817562,middle,3.838865295
许昌市,middle,5.883633668,17.79304613,11.59793036,0.946448426,3.821949024,0.5645394,8.892165608,1.237071794,3389.37,440.6899444,0,3.772044381,3.959215326,middle,11.90941246
赣州市,middle,6.257016619,18.8433292,12.05144841,1.347450193,8.400705298,0.735542833,15.26108224,1.284221896,3645.2,911.4244402,0,3.709493597,4.385184637,middle,12.58631258
连云港市,middle,6.733897681,21.27041686,12.36946107,1.110848067,1.992905201,0.710034308,10.04077099,1.175602249,3277.07,463.3241906,0,4.243623319,4.257700914,middle,14.53651918
邯郸市,middle,11.00870619,17.73430078,9.069147112,0.562984198,8.635157839,0.727572284,20.03435774,0.968919382,3636.6,953.680087,22.5,3.254312509,3.305470225,middle,6.72559459
邵阳市,middle,6.303218129,18.4226497,10.69709941,0.971815383,1.571219864,0.306940963,6.905477606,1.217544244,2250.81,659.7698253,0,3.794966655,4.277625928,middle,12.11943157
郴州市,middle,9.276913035,17.85329026,9.514121786,1.075716423,4.740621479,0.803740542,19.56935488,1.86744531,2503.07,471.087202,0,4.120853515,5.010540317,middle,8.576377225
长春市,middle,11.81112053,18.33857798,9.603946423,0.672323958,8.939186383,1.050715433,16.79127922,1.082844965,6601.59,915.476096,0,4.384336371,4.8671459,middle,6.52745745
阜阳市,middle,7.12975811,21.85837797,12.67682794,1.145499718,1.582169126,0.35723857,10.94402882,1.398809288,2724.45,829.2477043,0,4.125733305,3.932632019,middle,14.72861986
黄冈市,middle,4.668270387,11.86211182,8.507964716,0.676808024,6.341892151,0.202455267,7.838911853,0.723304358,2142.48,590.3110634,0,3.361440003,3.471257044,middle,7.193841433
万宁市,small,0.636976916,8.567638169,8.721811754,0.611454648,4.589631944,0.183407121,11.11219421,0.19106759,237.4,54.19604078,0,4.883741747,5.052135377,small,7.930661253
三明市,small,4.379829077,10.58436012,8.206076103,0.618252288,2.084301853,0.589253772,8.648725827,0.980202106,2689.19,250.1376923,0,2.591113078,2.940394004,small,6.204531043
东营市,small,5.420296283,19.26930865,11.28317194,0.874507299,2.952441821,0.429580441,15.19185139,1.121996777,2981.19,220.8660084,45,3.929857223,4.187112318,small,13.84901237
中卫市,small,2.600842012,10.44252348,8.340019463,0.656343953,2.907415274,0.328397476,8.772233437,1.081965206,440.32,108.8520642,22.5,4.865973644,3.970986196,small,7.841681468
