date,省,省代码,市,市代码,dominant_wind_direction,eastward_wind_speed,northward_wind_speed,angle
2010-06-01,安徽省,340000.0,安庆市,340800.0,2.0,-3.856261110305786,-3.7799104690551757,45.57285561139736
2010-06-01,安徽省,340000.0,蚌埠市,340300.0,4.0,-4.779959201812744,-0.5776695609092712,83.10908559756945
2010-06-01,安徽省,340000.0,亳州市,341600.0,4.0,-3.861778418223063,0.16228609532117844,92.40636296350337
2010-06-01,安徽省,340000.0,池州市,341700.0,2.0,-3.818022847175598,-2.8579704761505127,53.18341109106723
2010-06-01,安徽省,340000.0,滁州市,341100.0,4.0,-5.05690610408783,-0.3911074288189411,85.577476911329
2010-06-01,安徽省,340000.0,阜阳市,341200.0,4.0,-3.9649935245513914,-0.4578886300325394,83.41250267392161
2010-06-01,安徽省,340000.0,合肥市,340100.0,3.0,-5.390798807144165,-1.2352806329727173,77.09370980411458
2010-06-01,安徽省,340000.0,淮北市,340600.0,4.0,-4.275864601135254,0.23109574988484383,93.09362962693638
2010-06-01,安徽省,340000.0,淮南市,340400.0,3.0,-4.853180885314941,-1.4445324540138245,73.42454571231525
2010-06-01,安徽省,340000.0,黄山市,341000.0,4.0,-4.08263365427653,-0.8357580304145813,78.43079212485264
2010-06-01,安徽省,340000.0,六安市,341500.0,3.0,-4.143691003322601,-1.8365236818790436,66.09661856317936
2010-06-01,安徽省,340000.0,马鞍山市,340500.0,4.0,-5.830414772033691,0.06343445181846619,90.62334895674994
2010-06-01,安徽省,340000.0,宿州市,341300.0,4.0,-4.081397136052449,0.7893639008204142,100.94616102877498
2010-06-01,安徽省,340000.0,铜陵市,340700.0,3.0,-5.232443332672119,-2.0309836864471436,68.78617457906253
2010-06-01,安徽省,340000.0,芜湖市,340200.0,4.0,-5.801382541656494,-0.5449912548065186,84.63329197825408
2010-06-01,安徽省,340000.0,宣城市,341800.0,4.0,-5.119027137756348,0.5603516548871994,96.24698064141023
2010-06-01,澳门特别行政区,820000.0,澳门特别行政区,820000.0,5.0,-7.570486545562744,2.9385571479797363,111.2142013784524
2010-06-01,北京市,110000.0,北京市,110000.0,6.0,-1.6269453167915344,2.6661576628684998,148.60758261999635
2010-06-01,福建省,350000.0,福州市,350100.0,3.0,-3.437596917152405,-1.3441421389579773,68.64389811839632
2010-06-01,福建省,350000.0,龙岩市,350800.0,4.0,-2.871910055478414,0.1669434110323588,93.32684544753062
2010-06-01,福建省,350000.0,南平市,350700.0,5.0,-1.7580164160047258,0.7483408195631844,113.05816406288224
2010-06-01,福建省,350000.0,宁德市,350900.0,4.0,-3.0886345704396567,-0.6015285352865855,78.97928788445071
2010-06-01,福建省,350000.0,莆田市,350300.0,2.0,-4.083802223205566,-4.027061939239502,45.40081127036939
2010-06-01,福建省,350000.0,泉州市,350500.0,3.0,-4.811876138051351,-3.5263367096583047,53.76453675277355
2010-06-01,福建省,350000.0,三明市,350400.0,4.0,-2.4315084389277866,0.7429447482739177,106.99047493745854
2010-06-01,福建省,350000.0,厦门市,350200.0,2.0,-7.148123264312744,-5.380923748016357,53.02850477948144
2010-06-01,福建省,350000.0,漳州市,350600.0,3.0,-4.891180992126465,-1.959242805838585,68.17061938779742
2010-06-01,甘肃省,620000.0,白银市,620400.0,7.0,-2.007045796939305,4.256561006818499,154.75527137886132
2010-06-01,甘肃省,620000.0,定西市,621100.0,6.0,-2.015611410140991,1.565324604511261,127.83292724982414
2010-06-01,甘肃省,620000.0,甘南藏族自治州,623000.0,1.0,-0.9133030951023102,-1.7710160791873932,27.279905008108074
2010-06-01,甘肃省,620000.0,嘉峪关市,620200.0,13.0,0.6583285133043925,-0.627165695031484,313.6113135978932
2010-06-01,甘肃省,620000.0,金昌市,620300.0,6.0,-2.773431181907654,1.882502794265747,124.16721407731941
2010-06-01,甘肃省,620000.0,酒泉市,620900.0,12.0,0.2951794044490446,0.056697951221283065,259.1270743919913
2010-06-01,甘肃省,620000.0,兰州市,620100.0,6.0,-2.3321943283081055,2.407061368227005,135.90503845262973
2010-06-01,甘肃省,620000.0,临夏回族自治州,622900.0,3.0,-1.2151085585355759,0.3000338487327099,103.86999950337551
2010-06-01,甘肃省,620000.0,陇南市,621200.0,1.0,-1.216543011367321,-1.8350285845808685,33.54262257624964
2010-06-01,甘肃省,620000.0,平凉市,620800.0,2.0,-0.7543891121943792,1.0326348890860875,143.85008710957638
2010-06-01,甘肃省,620000.0,庆阳市,621000.0,10.0,1.3360531106591225,1.629004132002592,219.35742470267576
2010-06-01,甘肃省,620000.0,天水市,620500.0,4.0,-1.7979604482650757,0.19276509881019593,96.11948832265176
2010-06-01,甘肃省,620000.0,武威市,620600.0,6.0,-3.226904235102914,3.424513368444009,136.70171843400968
2010-06-01,甘肃省,620000.0,张掖市,620700.0,2.0,-0.27935040111725146,-0.26446487468022567,46.56793118666124
2010-06-01,广东省,440000.0,潮州市,445100.0,3.0,-6.834646701812744,-1.7544950246810913,75.60270537535482
2010-06-01,广东省,440000.0,东莞市,441900.0,4.0,-6.904755592346191,0.9281421899795532,97.65584880733701
2010-06-01,广东省,440000.0,佛山市,440600.0,4.0,-6.737600803375244,1.1615720987319946,99.78171983151532
2010-06-01,广东省,440000.0,广州市,440100.0,3.0,-5.859681129455566,-0.9280122220516205,81.00066860693633
2010-06-01,广东省,440000.0,河源市,441600.0,4.0,-4.272215783596039,0.08321297820657492,91.11584945583238
2010-06-01,广东省,440000.0,惠州市,441300.0,4.0,-5.870759010314941,0.16258427586096028,91.58633873617097
