FID,BH_2010,BH_2020,MODIS_2010,MODIS_2020,city_name,buffer_id,distance,predict_2010,residual_2010,predict_2020,residual_2020
8287,0.002918401,0.156267143,21.3884911,19.9140345,七台河市,60,30,20.83806487617272,0.5504262238272801,19.471931997235494,0.4421025027645058
8288,0.002919197,0.113241353,21.40305705,19.91154895,七台河市,59,29,20.838068182666348,0.5649888673336534,19.42012068119799,0.49142826880201085
8289,0.002918061,0.130425191,21.46504207,19.94449522,七台河市,58,28,20.838063463849746,0.6269786061502529,19.44103014049618,0.5034650795038189
8290,0.002062658,0.126025545,21.487468,19.94916884,七台河市,57,27,20.834507229929468,0.652960770070532,19.4357041734126,0.5134646665873994
8291,0.00206314,0.144636753,21.53641291,19.96949725,七台河市,56,26,20.8345092354655,0.7019036745344991,19.45810474510621,0.5113925048937915
8292,0.001985827,0.19104886,21.59293466,20.0120923,七台河市,55,25,20.834187522433936,0.7587471375660648,19.512504342206892,0.49958795779310705
8293,0.0,0.134259869,21.59622749,20.02352928,七台河市,54,24,20.825907431127355,0.7703200588726453,19.445656754031297,0.5778725259687043
8294,0.000389332,0.201466662,21.62833094,20.04312744,七台河市,53,23,20.82753332436966,0.8007976156303407,19.52443084211048,0.5186965978895195
8295,0.000389408,0.206133991,21.65543478,20.0596226,七台河市,52,22,20.82753364163316,0.8279011383668404,19.52974055203529,0.5298820479647119
8296,0.000389363,0.254144527,21.64664034,20.05484175,七台河市,51,21,20.827533453779775,0.8191068862202258,19.583163799925856,0.47167795007414526
8297,0.000389484,0.260618153,21.66826792,20.06770679,七台河市,50,20,20.827533958896616,0.8407339611033855,19.5902018374132,0.4775049525867985
8298,0.000389621,0.204733656,21.66592075,20.06521737,七台河市,49,19,20.827534530805618,0.8383862191943834,19.528149659458645,0.5370677105413542
8299,0.000311696,0.143838711,21.64949055,20.04697695,七台河市,48,18,20.82720920671883,0.8222813432811691,19.457151145016493,0.5898258049835086
8300,0.000311672,0.176993262,21.62850642,20.02812067,七台河市,47,17,20.827209106515127,0.8012973134848735,19.49624876618767,0.5318719038123305
8301,0.0,0.18400401,21.62084413,20.01787087,七台河市,46,16,20.825907431127355,0.7949366988726432,19.504380498798813,0.5134903712011862
8302,0.0,0.170306808,21.62493224,20.0203125,七台河市,45,15,20.825907431127355,0.7990248088726446,19.488449184608324,0.531863315391675
8303,0.0,0.105256686,21.63794169,20.0378057,七台河市,44,14,20.825907431127355,0.8120342588726466,19.410306125740362,0.6274995742596374
8304,0.0,0.170355029,21.67627882,20.06582485,七台河市,43,13,20.825907431127355,0.8503713888726452,19.488505587233266,0.5773192627667321
8305,0.0,0.460335935,21.72948805,20.10413749,七台河市,42,12,20.825907431127355,0.9035806188726454,19.78864591376027,0.31549157623972945
8306,0.055241511,0.91840896,21.81758302,20.17468037,七台河市,41,11,21.044427127557366,0.7731558924426345,20.119069579345236,0.055610790654764486
8307,0.176381145,1.44598872,21.88593528,20.23646249,七台河市,40,10,21.442272800952075,0.44366247904792644,20.32133405355767,-0.08487156355766956
8308,0.177897364,1.802647072,21.94996481,20.2750351,七台河市,39,9,21.446583925627248,0.5033808843727527,20.3753204008387,-0.10028530083869924
8309,0.200819193,2.164277217,21.97362532,20.2808824,七台河市,38,8,21.509842749972886,0.46378257002711365,20.381306009287798,-0.10042360928779814
8310,0.205829561,2.292959766,21.99055705,20.2783968,七台河市,37,7,21.523196498212066,0.4673605517879338,20.374797816088126,-0.09640101608812657
8311,0.198915503,2.180869657,21.97752459,20.22559603,七台河市,36,6,21.504724773438642,0.47279981656135917,20.380679287143398,-0.15508325714339932
8312,0.077085121,1.283192982,21.95639393,20.20678521,七台河市,35,5,21.12422333793514,0.8321705920648625,20.27635277499206,-0.06956756499205952
8313,0.000702165,0.37222014,21.9195313,20.14728257,七台河市,34,4,20.828838852441585,1.090692447558414,19.70548480448905,0.44179776551095173
8314,0.019280306,0.412016434,21.91508164,20.12434778,七台河市,33,3,20.904944984199552,1.0101366558004479,19.743884887791094,0.3804628922089073
8315,0.14498301,0.916382452,21.93903463,20.15568566,七台河市,32,2,21.34939386960241,0.5896407603975895,20.11795401231956,0.03773164768043813
8316,0.373525506,1.750460993,21.97300144,20.21153127,七台河市,31,1,21.878901618710692,0.0940998212893085,20.370797622753923,-0.15926635275392442
8317,0.847631692,3.073786281,22.04069685,20.34406374,七台河市,30,0,22.04069685,0.0,20.34406374,0.0
8318,1.086118051,3.680375955,22.0843873,20.40878284,七台河市,29,-1,22.0843873,0.0,20.40878284,0.0
8319,1.246671092,4.254671397,22.13551892,20.42942565,七台河市,28,-2,22.13551892,0.0,20.42942565,0.0
8320,1.510408936,4.76584639,22.14757026,20.41706205,七台河市,27,-3,22.14757026,0.0,20.41706205,0.0
8321,1.911353336,4.751969172,22.15794821,20.4239471,七台河市,26,-4,22.15794821,0.0,20.4239471,0.0
8322,1.84987884,4.36222986,22.12931253,20.38046993,七台河市,25,-5,22.12931253,0.0,20.38046993,0.0
8323,1.199148238,3.285691822,22.08960975,20.33702051,七台河市,24,-6,22.08960975,0.0,20.33702051,0.0
8324,0.713872719,2.323087662,22.02167096,20.26419835,七台河市,23,-7,22.02167096,0.0,20.26419835,0.0
8325,0.728373838,2.106306241,21.93919821,20.17635865,七台河市,22,-8,21.93919821,0.0,20.17635865,0.0
8326,0.586800125,1.593230242,21.90236561,20.13657276,七台河市,21,-9,21.90236561,0.0,20.13657276,0.0
8327,0.374276552,1.070498643,21.86241224,20.0873071,七台河市,20,-10,21.86241224,0.0,20.0873071,0.0
8328,0.265861381,0.806544312,21.79539642,20.03682857,七台河市,19,-11,21.79539642,0.0,20.03682857,0.0
8329,0.099538666,0.58766384,21.76613973,20.01880752,七台河市,18,-12,21.76613973,0.0,20.01880752,0.0
8330,0.07885683,0.494029175,21.70627648,19.99596764,七台河市,17,-13,21.70627648,0.0,19.99596764,0.0
8331,0.06429158,0.430011539,21.64955251,19.97653445,七台河市,16,-14,21.64955251,0.0,19.97653445,0.0
8332,0.002660511,0.19065811,21.59388599,19.95224185,七台河市,15,-15,21.59388599,0.0,19.95224185,0.0
8333,0.0,0.098809388,21.45234936,19.86034359,七台河市,14,-16,21.45234936,0.0,19.86034359,0.0
8334,0.0,0.068032182,21.36689735,19.79209484,七台河市,13,-17,21.36689735,0.0,19.79209484,0.0
8335,0.0,0.048682798,21.2649117,19.70648775,七台河市,12,-18,21.2649117,0.0,19.70648775,0.0
8336,0.0,0.031003193,21.07160325,19.56545515,七台河市,11,-19,21.07160325,0.0,19.56545515,0.0
8337,0.0,0.048486755,20.97484019,19.49884908,七台河市,10,-20,20.97484019,0.0,19.49884908,0.0
8338,0.0,0.049209479,20.84558204,19.4130786,七台河市,9,-21,20.84558204,0.0,19.4130786,0.0
8339,0.0,0.053889631,20.6965473,19.31643228,七台河市,8,-22,20.6965473,0.0,19.31643228,0.0
8340,0.0,0.05403891,20.65441372,19.30042826,七台河市,7,-23,20.65441372,0.0,19.30042826,0.0
8341,0.0,0.049118937,20.53941099,19.21640955,七台河市,6,-24,20.53941099,0.0,19.21640955,0.0
8342,0.0,0.004938249,20.43967402,19.13433506,七台河市,5,-25,20.43967402,0.0,19.13433506,0.0
8343,0.0,0.015960432,20.34001365,19.0535326,七台河市,4,-26,20.34001365,0.0,19.0535326,0.0
8344,0.0,0.015916383,20.23243344,18.95003505,七台河市,3,-27,20.23243344,0.0,18.95003505,0.0
8345,0.0,0.015887151,20.18030312,18.8944993,七台河市,2,-28,20.18030312,0.0,18.8944993,0.0
8346,0.0,0.015945722,20.11569304,18.8309782,七台河市,1,-29,20.11569304,0.0,18.8309782,0.0
8347,0.0,0.0,20.054212,18.7916779,七台河市,0,-30,20.054212,0.0,18.7916779,0.0
6002,0.007156765,0.309701623,28.39330444,28.94386951,万宁市,60,30,27.55414155070542,0.839162889294581,28.216958861981396,0.7269106480186025
6003,0.007151872,0.42397206,28.39502528,28.94527576,万宁市,59,29,27.553719905185325,0.8413053748146737,28.412078337237457,0.5331974227625444
6004,0.0,0.524025105,28.39166692,28.94116834,万宁市,58,28,26.79281656967204,1.5988503503279574,28.55249247356157,0.38867586643842955
6005,0.0,0.424620688,28.37913062,28.91991309,万宁市,57,27,26.79281656967204,1.5863140503279602,28.41307748934109,0.5068356006589099
6006,0.0,0.257002972,28.33546206,28.83423907,万宁市,56,26,26.79281656967204,1.5426454903279598,28.113656982663123,0.7205820873368758
6007,0.0,0.235025138,28.28114359,28.75189036,万宁市,55,25,26.79281656967204,1.488327020327958,28.067981364574404,0.6839089954255968
6008,0.0,0.058970483,28.22378247,28.70108704,万宁市,54,24,26.79281656967204,1.4309659003279585,27.643898768798955,1.0571882712010456
6009,0.0,0.0,28.20217379,28.68900499,万宁市,53,23,26.79281656967204,1.4093572203279585,27.477454764077848,1.211550225922153
6010,0.0,0.0,28.18573341,28.67427533,万宁市,52,22,26.79281656967204,1.3929168403279597,27.477454764077848,1.1968205659221525
6011,0.0,0.0,28.19272543,28.71718234,万宁市,51,21,26.79281656967204,1.3999088603279581,27.477454764077848,1.2397275759221529
6012,0.0,0.0,28.21680222,28.7955616,万宁市,50,20,26.79281656967204,1.4239856503279604,27.477454764077848,1.3181068359221513
6013,0.0,0.0,28.24481201,28.83330037,万宁市,49,19,26.79281656967204,1.4519954403279591,27.477454764077848,1.355845605922152
6014,0.0,0.0,28.22318827,28.75529887,万宁市,48,18,26.79281656967204,1.4303717003279601,27.477454764077848,1.2778441059221528
