city_name,year,R,R的平方,p值,RMSE,样本数量
克孜勒苏柯尔克孜自治州,2010,0.3906,0.1525,3.619100e-02,0.6108,29.0
克孜勒苏柯尔克孜自治州,2020,0.5626,0.3165,1.212300e-03,0.5551,30.0
克拉玛依市,2010,0.8019,0.643,1.000400e-07,0.1221,30.0
克拉玛依市,2020,0.7953,0.6326,8.993600e-08,0.2494,31.0
六安市,2010,0.8419,0.7087,1.044000e-08,0.0347,29.0
六安市,2020,0.9638,0.9289,5.007500e-17,0.0152,29.0
六盘水市,2010,0.6826,0.466,2.331700e-05,0.8451,31.0
六盘水市,2020,0.6799,0.4623,2.585300e-05,0.8585,31.0
兰州市,2010,0.9671,0.9353,1.400600e-17,0.1096,29.0
兰州市,2020,0.8551,0.7311,9.084300e-10,0.2429,31.0
兴安盟,2010,0.8733,0.7626,3.061200e-10,0.0985,30.0
兴安盟,2020,0.9149,0.8371,5.958000e-13,0.1285,31.0
内江市,2010,0.3087,0.0953,9.700500e-02,0.021,30.0
内江市,2020,0.9774,0.9554,1.896900e-20,0.0165,30.0
凉山彝族自治州,2010,0.8339,0.6953,1.934500e-08,1.6363,29.0
凉山彝族自治州,2020,0.8999,0.8099,3.099400e-11,1.4017,29.0
包头市,2010,0.9222,0.8504,3.136300e-12,0.1427,28.0
包头市,2020,0.7859,0.6177,2.656800e-07,0.1308,30.0
北京市,2010,0.9938,0.9876,3.100200e-28,0.046,30.0
北京市,2020,0.9263,0.858,8.027600e-14,0.0849,31.0
北屯市,2010,0.5544,0.3073,2.203500e-03,0.1566,28.0
北屯市,2020,0.6021,0.3625,3.387100e-04,0.2341,31.0
北海市,2010,0.9969,0.9937,5.664400e-09,0.0248,9.0
北海市,2020,0.9908,0.9818,3.036900e-08,0.0551,10.0
十堰市,2010,0.8317,0.6918,4.160100e-08,0.0805,28.0
十堰市,2020,0.9581,0.918,3.440200e-16,0.028,29.0
南京市,2010,0.9623,0.926,6.085400e-18,0.047,31.0
南京市,2020,0.9791,0.9586,6.635200e-21,0.032,30.0
南充市,2010,0.9318,0.8683,2.691600e-14,0.0579,31.0
南充市,2020,0.957,0.9158,4.931200e-16,0.0462,29.0
南宁市,2010,0.9579,0.9176,1.309000e-15,0.0144,28.0
南宁市,2020,0.9324,0.8694,6.729800e-14,0.0337,30.0
南平市,2010,0.6021,0.3625,3.392500e-04,0.6507,31.0
南平市,2020,0.9706,0.9421,3.119200e-18,0.1754,29.0
南昌市,2010,0.9582,0.9181,9.470800e-17,0.0253,30.0
南昌市,2020,0.7428,0.5518,1.707000e-06,0.0283,31.0
