city_name,year,R,R的平方,p值,RMSE,样本数量
儋州市,2010,0.8901,0.7922,1.040300e-10,0.0887,29.0
儋州市,2020,0.9637,0.9288,3.500000e-18,0.0618,31.0
克孜勒苏柯尔克孜自治州,2010,0.5349,0.2862,2.321300e-03,0.7074,30.0
克孜勒苏柯尔克孜自治州,2020,0.7537,0.5681,9.828800e-07,0.5568,31.0
克拉玛依市,2010,0.8701,0.757,8.769200e-10,0.1224,29.0
克拉玛依市,2020,0.9348,0.8739,1.177700e-13,0.1252,29.0
六安市,2010,0.7946,0.6314,1.579500e-07,0.0786,30.0
六安市,2020,0.9609,0.9234,1.008300e-17,0.0327,31.0
六盘水市,2010,0.4089,0.1672,2.763100e-02,0.4078,29.0
六盘水市,2020,0.3097,0.0959,1.020400e-01,0.4994,29.0
兰州市,2010,0.9859,0.9721,2.668000e-23,0.1219,30.0
兰州市,2020,0.9806,0.9615,1.236300e-20,0.1703,29.0
兴安盟,2010,0.9162,0.8395,4.806300e-13,0.0678,31.0
兴安盟,2020,0.9494,0.9014,4.001500e-16,0.1213,31.0
内江市,2010,0.9855,0.9713,1.416200e-21,0.0153,28.0
内江市,2020,0.9985,0.997,2.163400e-34,0.0104,28.0
凉山彝族自治州,2010,0.7147,0.5108,1.325800e-05,1.4416,29.0
凉山彝族自治州,2020,0.847,0.7173,6.927600e-09,1.2039,29.0
包头市,2010,0.938,0.8798,6.085900e-14,0.1604,29.0
包头市,2020,0.8751,0.7657,1.206200e-10,0.142,31.0
北京市,2010,0.9789,0.9582,3.827200e-20,0.0949,29.0
北京市,2020,0.953,0.9083,1.382600e-16,0.0735,31.0
北屯市,2010,0.9459,0.8948,3.195700e-15,0.1089,30.0
北屯市,2020,0.9896,0.9793,5.771300e-26,0.0413,31.0
北海市,2010,0.998,0.996,1.964200e-08,0.0058,8.0
北海市,2020,0.7184,0.5162,2.922300e-02,0.0946,9.0
十堰市,2010,0.2796,0.0782,1.276700e-01,0.2263,31.0
十堰市,2020,0.5938,0.3526,6.838500e-04,0.1855,29.0
南京市,2010,0.6825,0.4659,3.251400e-05,0.1036,30.0
南京市,2020,0.9526,0.9074,1.785700e-15,0.0417,29.0
南充市,2010,0.986,0.9723,2.385700e-23,0.0333,30.0
南充市,2020,0.9975,0.9949,2.164400e-31,0.0171,28.0
南宁市,2010,0.9514,0.9052,7.402000e-16,0.018,30.0
南宁市,2020,0.8352,0.6976,5.108500e-09,0.0308,31.0
南平市,2010,0.9047,0.8185,3.946400e-11,0.3418,28.0
南平市,2020,0.921,0.8482,3.805700e-12,0.3029,28.0
南昌市,2010,0.9808,0.9619,3.960900e-22,0.0252,31.0
南昌市,2020,0.9369,0.8778,9.036600e-15,0.0241,31.0
南通市,2010,0.9934,0.9868,7.094700e-28,0.0269,30.0
南通市,2020,0.935,0.8742,1.371800e-14,0.0455,31.0
南阳市,2010,0.988,0.9761,4.473800e-25,0.0287,31.0
南阳市,2020,0.9985,0.997,7.016200e-37,0.0095,30.0
博尔塔拉蒙古自治州,2010,0.3718,0.1382,3.946100e-02,0.9483,31.0
博尔塔拉蒙古自治州,2020,0.6114,0.3738,2.579800e-04,0.7076,31.0
厦门市,2010,0.8875,0.7876,3.669300e-08,0.1048,22.0
厦门市,2020,0.9408,0.8851,7.494900e-11,0.0869,22.0
双河市,2010,0.4496,0.2021,1.117200e-02,0.839,31.0
双河市,2020,0.4843,0.2346,5.765600e-03,0.6846,31.0
双鸭山市,2010,0.9381,0.8801,6.871400e-15,0.0705,31.0
双鸭山市,2020,0.9422,0.8878,7.342500e-14,0.0579,28.0
可克达拉市,2010,,0.0,nan,0.2295,31.0
可克达拉市,2020,0.8534,0.7283,2.066300e-09,0.2089,30.0
台州市,2010,0.7847,0.6157,2.860700e-07,0.0924,30.0
台州市,2020,0.9913,0.9826,2.062000e-24,0.0221,28.0
台湾省,2010,0.8527,0.7271,4.277100e-09,1.1209,29.0
台湾省,2020,0.8749,0.7654,5.426600e-10,1.1907,29.0
合肥市,2010,0.9942,0.9885,1.004500e-27,0.0189,29.0
合肥市,2020,0.9782,0.9569,1.172700e-20,0.0529,30.0
吉安市,2010,0.9558,0.9136,5.845200e-17,0.0284,31.0
吉安市,2020,0.9768,0.9541,2.812900e-20,0.0327,30.0
吉林市,2010,0.8808,0.7759,6.311600e-11,0.2254,31.0
吉林市,2020,0.969,0.9391,3.641700e-19,0.1209,31.0
吐鲁番市,2010,0.6875,0.4727,3.779600e-05,1.2634,29.0
吐鲁番市,2020,0.7001,0.4901,1.661400e-05,1.7172,30.0
吕梁市,2010,0.606,0.3672,3.026100e-04,0.8135,31.0
吕梁市,2020,0.774,0.5991,3.261300e-07,0.5366,31.0
吴忠市,2010,0.3496,0.1222,5.388100e-02,0.3226,31.0
吴忠市,2020,0.7044,0.4962,9.752600e-06,0.3233,31.0
周口市,2010,0.9693,0.9396,3.197800e-19,0.0569,31.0
周口市,2020,0.998,0.996,7.046900e-34,0.0159,29.0
呼伦贝尔市,2010,0.758,0.5745,1.226900e-06,0.086,30.0
呼伦贝尔市,2020,0.8355,0.698,5.007800e-09,0.1083,31.0
呼和浩特市,2010,0.9653,0.9317,1.119100e-16,0.0887,28.0
呼和浩特市,2020,0.9919,0.9838,1.605200e-27,0.0411,31.0
和田地区,2010,0.712,0.507,7.054900e-06,0.307,31.0
和田地区,2020,0.8422,0.7093,2.860900e-09,0.1922,31.0
咸宁市,2010,0.9852,0.9706,1.950500e-21,0.0703,28.0
咸宁市,2020,0.9852,0.9707,1.846800e-21,0.0679,28.0
咸阳市,2010,0.9345,0.8734,1.519700e-14,0.0798,31.0
咸阳市,2020,0.9506,0.9037,2.823100e-16,0.0729,31.0
哈密市,2010,0.2591,0.0671,1.593200e-01,0.7373,31.0
哈密市,2020,0.6747,0.4553,3.141700e-05,0.4436,31.0
哈尔滨市,2010,0.998,0.996,4.228600e-35,0.0212,30.0
哈尔滨市,2020,0.9893,0.9788,3.998900e-24,0.0651,29.0
唐山市,2010,0.9656,0.9324,6.466600e-18,0.1043,30.0
唐山市,2020,0.99,0.9801,3.148500e-26,0.0645,31.0
商丘市,2010,0.9974,0.9948,1.579900e-33,0.0116,30.0
商丘市,2020,0.9981,0.9962,3.045400e-34,0.0135,29.0
商洛市,2010,0.675,0.4556,5.908000e-05,0.1339,29.0
商洛市,2020,0.867,0.7517,2.831100e-10,0.0897,31.0
喀什地区,2010,0.5394,0.291,2.097400e-03,0.2301,30.0
喀什地区,2020,0.9553,0.9126,6.878300e-17,0.0633,31.0
嘉兴市,2010,0.9762,0.953,8.547000e-19,0.0214,28.0
嘉兴市,2020,0.9243,0.8543,1.168900e-13,0.0445,31.0
嘉峪关市,2010,0.9618,0.925,7.403800e-18,0.0349,31.0
嘉峪关市,2020,0.9435,0.8901,1.928000e-15,0.062,31.0
四平市,2010,0.8522,0.7262,4.483500e-09,0.1217,29.0
四平市,2020,0.9549,0.9118,9.287000e-16,0.0802,29.0
固原市,2010,0.5228,0.2733,2.549800e-03,0.4808,31.0
固原市,2020,0.824,0.679,2.201500e-08,0.321,30.0
图木舒克市,2010,0.3316,0.11,8.472000e-02,0.157,28.0
图木舒克市,2020,0.7496,0.5618,1.217600e-06,0.2006,31.0
塔城地区,2010,0.8813,0.7767,1.358700e-06,0.1059,18.0
塔城地区,2020,0.8944,0.7999,2.422300e-07,0.0927,19.0
大兴安岭地区,2010,0.9773,0.9552,2.013000e-20,0.0432,30.0
大兴安岭地区,2020,,0.0,nan,0.1808,29.0
大同市,2010,0.6653,0.4427,4.430100e-05,0.1344,31.0
大同市,2020,0.913,0.8336,8.144000e-13,0.0576,31.0
大庆市,2010,0.9091,0.8265,3.650100e-12,0.0234,30.0
大庆市,2020,0.8456,0.715,2.138400e-09,0.0463,31.0
大理白族自治州,2010,0.6363,0.4048,1.572400e-04,0.5527,30.0
大理白族自治州,2020,0.6438,0.4145,1.238800e-04,0.6055,30.0
大连市,2010,0.993,0.9861,9.337400e-08,0.0162,9.0
大连市,2020,0.9889,0.9779,4.708500e-07,0.0117,9.0
天水市,2010,0.8933,0.798,1.608200e-10,0.2246,28.0
天水市,2020,0.9492,0.9009,1.383500e-15,0.1652,30.0
天津市,2010,0.9759,0.9524,2.175000e-19,0.0758,29.0
天津市,2020,0.9807,0.9617,1.162100e-20,0.0773,29.0
天门市,2010,0.9597,0.9209,1.602200e-17,0.0386,31.0
天门市,2020,0.9725,0.9458,2.876600e-19,0.0239,30.0
太原市,2010,0.9813,0.9629,1.433400e-21,0.0532,30.0
太原市,2020,0.9736,0.9479,3.760200e-20,0.0584,31.0
威海市,2010,0.4513,0.2037,1.229800e-02,0.1175,30.0
威海市,2020,0.8018,0.6428,1.715700e-07,0.0466,29.0
娄底市,2010,0.7394,0.5467,2.016800e-06,0.0581,31.0
娄底市,2020,0.7511,0.5642,1.731700e-06,0.0869,30.0
孝感市,2010,0.7633,0.5827,5.904600e-07,0.0575,31.0
孝感市,2020,0.6054,0.3664,3.084300e-04,0.0801,31.0
宁德市,2010,0.7851,0.6164,2.786900e-07,0.6344,30.0
宁德市,2020,0.9406,0.8848,3.439900e-14,0.3204,29.0
宁波市,2010,0.9593,0.9202,1.838500e-17,0.2009,31.0
宁波市,2020,0.9992,0.9983,5.807800e-39,0.0292,29.0
安庆市,2010,0.4324,0.1869,1.513100e-02,0.2222,31.0
安庆市,2020,0.8773,0.7697,1.986600e-10,0.0821,30.0
安康市,2010,0.8609,0.7411,2.090500e-09,0.266,29.0
安康市,2020,0.8829,0.7795,2.332500e-10,0.2706,29.0
安阳市,2010,0.9878,0.9758,3.655600e-24,0.0265,30.0
安阳市,2020,0.992,0.9841,9.988700e-27,0.0218,30.0
安顺市,2010,0.1538,0.0237,4.087900e-01,0.0387,31.0
安顺市,2020,0.8034,0.6455,9.047400e-08,0.0355,30.0
定安县,2010,0.6685,0.4469,3.948600e-05,0.0709,31.0
定安县,2020,0.8471,0.7176,1.863800e-09,0.0513,31.0
定西市,2010,0.9061,0.8211,3.262700e-11,0.1441,28.0
