FID,BH_2010,BH_2020,MODIS_2010,MODIS_2020,city_name,buffer_id,distance,predict_2010,residual_2010,predict_2020,residual_2020,predict_20-10
17324,0.000285878,2.325971227,24.76141322,25.31701519,德阳市,2,-28,24.76141322,0,25.31701519,0,0.55560197
17325,0.000285891,2.574135866,24.75957372,25.31530116,德阳市,1,-29,24.75957372,0,25.31530116,0,0.55572744
17326,0.001618662,2.77769474,24.75462974,25.32616758,德阳市,0,-30,24.75462974,0,25.32616758,0,0.57153784
16229,0,0.210457409,22.04428485,20.80732821,忻州市,60,30,20.93643996,1.107844887,19.99787824,0.809449966,-0.938561719
16230,0,0.243906298,22.28064521,21.04565218,忻州市,59,29,20.93643996,1.344205247,20.05324172,0.992410463,-0.883198246
16231,0.001704099,0.367040439,22.45710411,21.22748451,忻州市,58,28,20.94251332,1.514590795,20.25202235,0.975462156,-0.690490961
16232,0.010878588,0.428287941,22.55371067,21.36806593,忻州市,57,27,20.97507915,1.578631518,20.34798157,1.020084355,-0.627097577
16233,0.018742627,0.621656217,22.6027536,21.48550725,忻州市,56,26,21.00281689,1.599936711,20.63845047,0.847056779,-0.364366418
16234,0.021541554,0.803652891,22.60667167,21.5402922,忻州市,55,25,21.01264992,1.594021748,20.89485964,0.645432561,-0.117790284
16235,0.021203113,0.774487284,22.57593705,21.55697137,忻州市,54,24,21.01146202,1.564475026,20.8548587,0.702112671,-0.156603325
16236,0.023073898,0.835674177,22.55815217,21.56692532,忻州市,53,23,21.01802455,1.540127617,20.93830322,0.628622103,-0.079721337
16237,0.027099086,0.799102208,22.52240537,21.59281203,忻州市,52,22,21.03211338,1.490291987,20.88864547,0.704166556,-0.143467909
16238,0.120924744,1.106161567,22.53404625,21.62668295,忻州市,51,21,21.34860146,1.18544479,21.28580303,0.340879917,-0.062798427
16239,0.150063382,1.332370778,22.57468943,21.66296577,忻州市,50,20,21.44230236,1.132387069,21.55038064,0.112585128,0.108078281
16240,0.165208643,1.481396661,22.69281198,21.70929167,忻州市,49,19,21.49015883,1.202653154,21.71215153,-0.002859858,0.221992702
16241,0.161173282,1.485488001,22.78534349,21.75003505,忻州市,48,18,21.47746407,1.307879419,21.71645518,0.033579867,0.238991112
16242,0.159197237,1.48262276,22.91770178,21.79673909,忻州市,47,17,21.47123277,1.446469009,21.71344202,0.083297071,0.242209248
16243,0.150953297,1.531571619,23.07365065,21.8287855,忻州市,46,16,21.44513029,1.628520358,21.76442787,0.064357626,0.319297582
16244,0.068807139,1.341616513,23.17583333,21.8277535,忻州市,45,15,21.17560882,2.00022451,21.56070312,0.267050376,0.385094304
16245,0.115684045,1.167063767,23.26323095,21.84029231,忻州市,44,14,21.33152047,1.931710476,21.35932874,0.480963574,0.027808261
16246,0.102927662,0.677574045,23.3397302,21.86604193,忻州市,43,13,21.28965099,2.050079208,20.7189626,1.14707933,-0.570688392
16247,0.157507875,0.733901447,23.36401405,21.88815994,忻州市,42,12,21.46589773,1.898116323,20.79850658,1.089653358,-0.667391145
16248,0.366703128,0.924564148,23.33600986,21.95476862,忻州市,41,11,22.07326521,1.262744654,21.05632021,0.898448411,-1.016944996
16249,0.569335083,1.727114615,23.2888768,22.01822474,忻州市,40,10,22.56388782,0.724988982,21.95785812,0.060366617,-0.606029695
16250,0.730486524,2.311925042,23.23606366,22.07228263,忻州市,39,9,22.89008763,0.345976032,22.44297806,-0.370695432,-0.447109567
16251,0.712753382,2.588315828,23.145056,22.11265781,忻州市,38,8,22.85684691,0.288209087,22.62652465,-0.513866842,-0.230322261
16252,0.569677871,2.719625774,23.08257358,22.16784722,忻州市,37,7,22.5646403,0.517933275,22.70406834,-0.536221117,0.139428032
16253,0.531798486,4.075905003,23.02996892,22.2154504,忻州市,36,6,22.47993654,0.550032377,23.18310917,-0.967658767,0.703172624
16254,1.171636236,6.208847534,23.03125931,22.31607961,忻州市,35,5,23.52258143,-0.491322121,23.06747078,-0.751391174,-0.455110647
16255,2.339550768,9.137040714,23.07586955,22.46057978,忻州市,34,4,23.81433307,-0.738463525,22.30203921,0.158540571,-1.512293866
16256,3.352598625,12.10446528,23.15625931,22.60558482,忻州市,33,3,23.24196468,-0.085705369,22.46982753,0.135757293,-0.772137152
16257,4.525557356,13.68334905,23.29269115,22.78193417,忻州市,32,2,22.8091961,0.483495048,23.5801688,-0.798234633,0.7709727
16258,5.305785486,14.17819795,23.36440217,22.87608713,忻州市,31,1,23.28238914,0.082013034,24.13526669,-1.259179557,0.852877551
16259,5.613895216,13.43867714,23.4514856,22.89456533,忻州市,30,0,23.4514856,0,22.89456533,0,-0.55692027
16260,5.505080589,11.21338416,23.46724645,22.86134069,忻州市,29,-1,23.46724645,0,22.86134069,0,-0.60590576
16261,5.019759902,9.404072483,23.44642863,22.76397531,忻州市,28,-2,23.44642863,0,22.76397531,0,-0.68245332
16262,3.813729356,7.466273286,23.38278405,22.57836614,忻州市,27,-3,23.38278405,0,22.57836614,0,-0.80441791
16263,2.737042716,5.388562223,23.24800144,22.37380789,忻州市,26,-4,23.24800144,0,22.37380789,0,-0.87419355
16264,1.714298234,3.743485316,23.12006983,22.20601703,忻州市,25,-5,23.12006983,0,22.20601703,0,-0.9140528
16265,0.984836533,2.599917862,23.00187399,22.06517981,忻州市,24,-6,23.00187399,0,22.06517981,0,-0.93669418
16266,0.455250361,1.615294822,22.89594198,21.97601446,忻州市,23,-7,22.89594198,0,21.97601446,0,-0.91992752
16267,0.179865889,1.302402646,22.83317087,21.91926527,忻州市,22,-8,22.83317087,0,21.91926527,0,-0.9139056
16268,0.099149645,0.986685135,22.82514985,21.88991741,忻州市,21,-9,22.82514985,0,21.88991741,0,-0.93523244
16269,0.084231747,0.948789142,22.8391692,21.88342378,忻州市,20,-10,22.8391692,0,21.88342378,0,-0.95574542
16270,0.072571804,0.935261477,22.8806159,21.89010864,忻州市,19,-11,22.8806159,0,21.89010864,0,-0.99050726
16271,0.024067336,0.617949639,22.88503616,21.85579702,忻州市,18,-12,22.88503616,0,21.85579702,0,-1.02923914
16272,0.000833187,0.345415128,22.84495343,21.78583074,忻州市,17,-13,22.84495343,0,21.78583074,0,-1.05912269
16273,0.003682111,0.118103329,22.64943902,21.56651469,忻州市,16,-14,22.64943902,0,21.56651469,0,-1.08292433
16274,0.000526293,0,22.370512,21.26321874,忻州市,15,-15,22.370512,0,21.26321874,0,-1.10729326
16275,0.000526362,0,21.89460411,20.81230583,忻州市,14,-16,21.89460411,0,20.81230583,0,-1.08229828
16276,0.000526593,0,21.09486515,20.06709142,忻州市,13,-17,21.09486515,0,20.06709142,0,-1.02777373
16277,0,0,20.53163061,19.54869568,忻州市,12,-18,20.53163061,0,19.54869568,0,-0.98293493
16278,0,0,20.04250383,19.10322345,忻州市,11,-19,20.04250383,0,19.10322345,0,-0.93928038
16279,0,0,19.61566725,18.71521743,忻州市,10,-20,19.61566725,0,18.71521743,0,-0.90044982
16280,0,0,19.52138988,18.62996902,忻州市,9,-21,19.52138988,0,18.62996902,0,-0.89142086
16281,0,0,19.63365946,18.72043482,忻州市,8,-22,19.63365946,0,18.72043482,0,-0.91322464
16282,0,0,19.89054347,18.89855072,忻州市,7,-23,19.89054347,0,18.89855072,0,-0.99199275
16283,0,0,20.06405275,19.02919257,忻州市,6,-24,20.06405275,0,19.02919257,0,-1.03486018
