city_name,year,R,R的平方,p值,RMSE,样本数量
儋州市,2010,0.8677,0.7529,1.103700e-09,0.0961,29.0
儋州市,2020,0.9491,0.9008,4.545600e-15,0.0734,29.0
克孜勒苏柯尔克孜自治州,2010,0.5058,0.2558,4.355900e-03,0.7223,30.0
克孜勒苏柯尔克孜自治州,2020,0.5076,0.2577,3.558400e-03,0.73,31.0
克拉玛依市,2010,-0.7961,0.6337,8.585300e-08,0.1576,31.0
克拉玛依市,2020,-0.8954,0.8017,5.494000e-11,0.1569,29.0
六安市,2010,0.738,0.5447,3.242900e-06,0.0873,30.0
六安市,2020,0.8722,0.7608,3.407700e-10,0.0555,30.0
六盘水市,2010,-0.2115,0.0447,2.707400e-01,0.4367,29.0
六盘水市,2020,-0.0542,0.0029,7.802500e-01,0.5244,29.0
兰州市,2010,0.9566,0.9151,1.572800e-16,0.2095,30.0
兰州市,2020,0.9639,0.9291,1.258000e-17,0.2273,30.0
兴安盟,2010,0.8752,0.766,1.183900e-10,0.0819,31.0
兴安盟,2020,0.9324,0.8694,2.374600e-14,0.1396,31.0
内江市,2010,0.9553,0.9125,8.248700e-16,0.0251,29.0
内江市,2020,0.9899,0.9799,2.605300e-25,0.0265,30.0
凉山彝族自治州,2010,0.4612,0.2127,1.179500e-02,1.8288,29.0
凉山彝族自治州,2020,0.6164,0.38,3.696300e-04,1.783,29.0
包头市,2010,0.8207,0.6735,2.808500e-08,0.2621,30.0
包头市,2020,0.8552,0.7314,8.942500e-10,0.152,31.0
北京市,2010,0.7729,0.5973,3.479500e-07,0.2927,31.0
北京市,2020,0.9362,0.8765,8.864000e-14,0.0873,29.0
北屯市,2010,0.7821,0.6117,2.030300e-07,0.2088,31.0
北屯市,2020,0.972,0.9447,3.829200e-19,0.0648,30.0
北海市,2010,0.7921,0.6274,1.911600e-02,0.0561,8.0
北海市,2020,0.6293,0.396,6.938500e-02,0.1057,9.0
十堰市,2010,0.2688,0.0723,1.436600e-01,0.227,31.0
十堰市,2020,0.4209,0.1771,1.838600e-02,0.239,31.0
南京市,2010,0.6339,0.4018,2.225700e-04,0.0992,29.0
南京市,2020,0.8594,0.7386,6.017800e-10,0.0701,31.0
