FID,BH_2010,BH_2020,MODIS_2010,MODIS_2020,city_name,buffer_id
0,6.871676300578039,15.352237224578856,26.451629638671875,26.477174377441408,北京市,20.0
1,11.60054033191818,21.40241809324785,26.479347737630206,26.55942077636719,北京市,19.0
2,12.75943033102386,26.044783499505787,26.510325622558597,26.602988433837893,北京市,18.0
3,13.349518304431598,22.31402847060451,26.606793212890626,26.684510803222658,北京市,17.0
4,14.594511016621576,18.74415615311376,26.64855143229167,26.71847839355469,北京市,16.0
5,14.037779491133389,18.12069127389363,26.5603271484375,26.623912048339847,北京市,15.0
6,14.693641618497107,16.779584446820344,26.55597839355469,26.576631164550783,北京市,14.0
7,12.806027820710968,15.891641373987548,26.53913040161133,26.557881164550782,北京市,13.0
8,5.97919075144509,12.144262101433496,26.525815582275392,26.58532638549805,北京市,12.0
9,10.171549730146497,17.77670197133665,26.563587188720703,26.65597839355469,北京市,11.0
10,18.20809248554913,19.435306289366316,26.59728240966797,26.69918441772461,北京市,10.0
11,24.732768579129765,20.563680084473503,26.619021606445315,26.70978240966797,北京市,9.0
12,22.44633204633205,20.4363849427965,26.710325622558596,26.8,北京市,8.0
13,11.939499036608863,14.726480484008787,26.71956481933594,26.784783172607423,北京市,7.0
14,6.030046224961484,11.47224402427673,26.68668441772461,26.78994598388672,北京市,6.0
15,10.195668986852272,13.009266776007577,26.63586883544922,26.751358795166013,北京市,5.0
16,9.301428020069464,10.270572583609765,26.53967361450196,26.676902008056643,北京市,4.0
17,3.253374469726185,8.35655440321756,26.460325622558596,26.65108642578125,北京市,3.0
18,4.190181677618865,9.289033627291335,26.598370361328126,26.755435180664065,北京市,2.0
19,5.842288364901432,13.333717394758152,26.51983642578125,26.69510879516601,北京市,1.0
20,4.92512543419529,13.119238563017412,26.42961883544922,26.60788040161133,北京市,0.0
21,10.82453882453882,18.83078211004084,27.626086425781253,27.401631164550782,上海市,20.0
22,10.793487574978576,20.012769289016727,27.53885879516601,27.397554779052737,上海市,19.0
23,9.343200343200346,19.549317841578013,27.466304524739584,27.41811625162761,上海市,18.0
24,6.875752364574378,21.611509303853964,27.455796305338545,27.436594645182296,上海市,17.0
25,9.613402061855677,23.376203296160455,27.54538040161133,27.452717590332032,上海市,16.0
26,13.759314775160616,24.69223272920859,27.613587188720704,27.46875,上海市,15.0
27,16.595452595452603,24.0453936982863,27.622826131184894,27.48550720214844,上海市,14.0
28,16.01885983711959,21.48604183967668,27.557880401611328,27.438587188720703,上海市,13.0
29,12.996142306043716,20.397611627675065,27.557608032226565,27.43260955810547,上海市,12.0
30,14.0725633319021,22.8199032037565,27.60190200805664,27.35842437744141,上海市,11.0
31,13.918988426918128,21.591569380326703,27.535145060221364,27.322100830078128,上海市,10.0
32,8.965206185567004,12.616936304131334,27.432064819335938,27.316304016113282,上海市,9.0
33,8.691088260497,17.099985472046498,27.38315200805664,27.33342361450196,上海市,8.0
34,11.457474226804122,23.18395752376981,27.39166768391927,27.417390950520833,上海市,7.0
35,10.378494623655914,22.256421266142855,27.3728271484375,27.409420776367188,上海市,6.0
36,8.84056725397508,19.21671756895462,27.329891204833984,27.407881164550783,上海市,5.0
37,5.139305615087872,13.166321277618406,27.259238433837893,27.339131164550782,上海市,4.0
38,1.384714469729498,8.136638877318076,27.20181070963542,27.273189290364584,上海市,3.0
39,3.848692670381483,11.765212965946573,27.263858032226565,27.314674377441406,上海市,2.0
40,8.947210300429182,17.535908699035648,27.350543212890628,27.37119598388672,上海市,1.0
41,8.302925989672977,20.29679581097194,27.362228393554688,27.379619598388672,上海市,0.0
42,2.381860646165824,11.64617142853913,26.058694458007807,26.65597839355469,天津市,20.0
43,2.343713507201246,8.025986466452341,26.11847737630208,26.625362141927084,天津市,19.0
44,1.164202334630351,6.623415354256318,26.131883748372395,26.557971191406253,天津市,18.0
45,3.04437524328533,6.963953830577709,26.282879638671876,26.551087188720704,天津市,17.0
46,5.567303940694504,11.134967608111245,26.48940124511719,26.65434799194336,天津市,16.0
47,6.116822429906544,12.516178135478167,26.465489196777344,26.709510803222656,天津市,15.0
48,7.208722741433021,14.760783133105695,26.39157638549805,26.736141204833984,天津市,14.0
49,8.687183482664585,16.27483581840445,26.382971191406252,26.798912556966144,天津市,13.0
50,8.128165173354104,15.522529699184275,26.40144958496094,26.855797322591144,天津市,12.0
51,8.442622950819668,16.666194782600748,26.426087951660165,26.870652770996095,天津市,11.0
52,11.211530970003896,16.343681707294706,26.446739196777344,26.8896728515625,天津市,10.0
53,9.136735488897536,16.216319008408306,26.471739705403646,26.908332316080728,天津市,9.0
54,11.000389711613396,18.9508132409612,26.514492797851563,26.917028808593752,天津市,8.0
55,12.996491228070171,18.249936326641905,26.52853240966797,26.915217590332034,天津市,7.0
56,9.372510737992968,18.00235874588425,26.513043212890626,26.88994522094727,天津市,6.0
57,8.166471734892783,18.484625244140627,26.45543441772461,26.8,天津市,5.0
58,7.807797270955168,24.20009067125409,26.374185180664064,26.68641357421875,天津市,4.0
59,7.62441497659907,19.9384441506972,26.310508219401044,26.614492797851565,天津市,3.0
60,8.666536661466456,11.612282490061824,26.280072021484372,26.598912556966145,天津市,2.0
61,8.700156372165754,12.759124455151255,26.26086883544922,26.610325622558594,天津市,1.0
62,4.174269005847957,16.07211046390705,26.035325622558595,26.53260955810547,天津市,0.0
63,2.21955477957224,10.8079111649818,26.88478240966797,27.396739196777347,重庆市,20.0
64,4.059668989547038,13.574130187431972,26.99166666666667,27.51702880859375,重庆市,19.0
